"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-346.73150947273,0.480117297126432,-48.3968196958849,8.20640959341684,0.5,0,-0.239579833277332,0.0222036192308128,0.5,500,3.5997586175867e-23
1,"X.2",-325.479161562146,6.6085768185009,-27.1444717853011,6.76523495090705,0.656730507688123,0.0242146453560636,-0.0828493255892094,0.0212321211015183,0.5,500,6.11013498970613e-14
2,"X.1",-316.383751700785,7.38930612974951,-18.0490619239398,6.2057475263701,0.686090977455639,0.0239847118791259,-0.0534888558216932,0.0187040046575884,0.5,500,5.44674594240107e-10
3,"X.8",-308.05391357057,7.64384618827613,-9.71922379372468,5.57673459132295,0.712299396790349,0.0234084584204422,-0.0272804364869839,0.0163799778985844,0.5,500,2.25808275287569e-06
4,"X.11",-306.272553642534,7.78498143045327,-7.93786386568935,5.23433859558069,0.717115473847582,0.0234872721491545,-0.0224643594297509,0.0151116167956301,0.5,500,1.3408328474558e-05
5,"X.82",-307.942415271717,7.87594032436439,-9.60772549487251,4.8383911893874,0.712139394230308,0.0235559306814689,-0.0274404390470248,0.0139276871530477,0.5,500,2.52442777342318e-06
6,"X.4",-304.550463246032,7.90387773712075,-6.21577346918694,4.4065121918275,0.721995551928831,0.0232960446006301,-0.0175842813485015,0.0124242585176668,0.5,500,7.50358829416554e-05
7,"X.95",-307.013990845619,8.10140706465297,-8.67930106877429,4.25025623512337,0.714331429302869,0.0236123746234526,-0.0252484039744636,0.0118311231551706,0.5,500,6.38811248346694e-06
8,"X.3",-303.057007410009,7.85063753675745,-4.72231763316407,3.87892456097326,0.726619625914015,0.0231466016477239,-0.0129602073633178,0.0110031259908772,0.5,500,0.00033409396119809
9,"X.6",-299.328416142105,7.93496119617136,-0.993726365259825,3.63196795753829,0.734747755964095,0.0227618067019615,-0.00483207731323698,0.0100319492974303,0.5,500,0.0139051359304089
10,"X.32",-298.986136836371,8.01332095582236,-0.651447059526403,3.56542356449262,0.735835773372374,0.022686718626783,-0.00374405990495852,0.00964247853973726,0.5,500,0.0195805664951668
11,"X.26",-299.95469446797,8.13892462495649,-1.62000469112534,3.49093156156316,0.735259764156227,0.0225056924647047,-0.00432006912110594,0.00937959802426171,0.5,500,0.00743337457078897
12,"X.5",-298.887924482197,8.09195003376223,-0.55323470535214,3.29768776191809,0.73714779436471,0.0224231275320762,-0.00243203891262267,0.0088871561050941,0.5,500,0.0216012227783266
13,"X.86",-297.607354625708,8.14424413557162,0.727335151136863,3.0988319582245,0.740587849405591,0.0222344841730081,0.00100801612825807,0.00844277610155879,0.5,500,0.0777361017679464
14,"X.85",-298.018186274866,8.15698324054783,0.316503501979148,2.99728154205644,0.740635850173603,0.0222002572647021,0.00105601689627033,0.00829652536503472,0.5,500,0.0515466967851253
15,"X.48",-298.700970000384,8.21092886767633,-0.366280223539074,2.87270840796906,0.738763820221124,0.0223196391180971,-0.000816013056208931,0.00826059832514878,0.5,500,0.0260418381677548
16,"X.7",-296.408212965708,8.17791331674011,1.92647681113644,2.59415873319193,0.744811916990672,0.022106733299216,0.00523208371333939,0.0077464371175977,0.5,500,0.25787151053459
17,"X.81",-296.603142374583,8.26636921188178,1.73154740226154,2.59272297757842,0.744747915966655,0.0222468881807125,0.00516808268932301,0.00756635009683366,0.5,500,0.212200595143171
18,"X.12",-297.750532776731,8.36628452007689,0.584157000114022,2.40040152059599,0.742603881662107,0.0224056569844824,0.0030240483847741,0.00709093398385418,0.5,500,0.0673660801022789
19,"X.83",-297.876208747643,8.37424206729347,0.458481029201706,2.23942127811476,0.74289188627018,0.0223643142831634,0.00331205299284787,0.0065695698674877,0.5,500,0.0594101838969126
20,"X.36",-297.951162520531,8.4069371227706,0.383527256313538,2.16951708953191,0.741723867581881,0.0224044012485182,0.00214403430454879,0.00649318346419386,0.5,500,0.0551199591095614
21,"X.9",-298.102153783967,8.39127043039466,0.232535992877623,2.06807526783378,0.740459847357558,0.0224386137563398,0.000880014080225311,0.00611029037993424,0.5,500,0.0473951840598001
22,"X.98",-298.421341766208,8.41855415445541,-0.086651989363296,2.04115663205491,0.73855581689307,0.0224811710535489,-0.00102401638426219,0.00607089191136253,0.5,500,0.0344439249931198
23,"X.79",-298.681817651569,8.35221660505187,-0.347127874724284,2.01567532381391,0.738763820221124,0.0224624544065821,-0.000816013056208931,0.00601454634516847,0.5,500,0.0265454074101522
24,"X.90",-299.326647485314,8.41185539196967,-0.991957708468931,1.99082858556475,0.736651786428583,0.0225010099857209,-0.00292804684874959,0.00586930035047029,0.5,500,0.0139297511049816
25,"X.58",-299.953970531568,8.43687746383839,-1.61928075472344,1.97719141111133,0.735883774140386,0.0225255017001723,-0.00369605913694626,0.00576322279365297,0.5,500,0.00743875780955564
