"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-138.710786066603,1.26412196641057,-30.1754906370719,4.17114102358709,0.5,0,-0.323818108974359,0.0289089674221837,0.5,200,9.08957449391377e-15
1,"X.5",-124.929816513477,2.61659137843711,-16.3945210839451,3.36247304227208,0.735777243589744,0.0339056049873223,-0.0880408653846154,0.0302356172528791,0.5,200,8.78097186157600e-09
2,"X.7",-118.119262098989,3.18029689286924,-9.58396666945714,3.0895682057631,0.784154647435897,0.0314629428304649,-0.0396634615384616,0.0258950302082772,0.5,200,7.96762317931711e-06
3,"X.4",-113.928189239234,3.19407946326835,-5.39289380970292,2.6660981512057,0.822516025641026,0.0289105238833339,-0.00130208333333337,0.0210522093596496,0.5,200,0.000526609394682386
4,"X.41",-112.397317940517,3.49415818976967,-3.86202251098562,2.40885234539782,0.812900641025641,0.0302757492319034,-0.010917467948718,0.0188304789613282,0.5,200,0.00243409520128684
5,"X.52",-111.704656825999,3.69949709694455,-3.16936139646744,2.35535722386699,0.815404647435897,0.0300261669433232,-0.00841346153846156,0.0185974002991026,0.5,200,0.00486582471552076
6,"X.10",-111.881202887318,3.8585034636345,-3.3459074577868,2.05951883296708,0.809495192307692,0.030480496991257,-0.0143229166666667,0.0167802170480276,0.5,200,0.00407834047806289
7,"X.3",-110.066631610283,3.95890084722363,-1.53133618075168,2.02871042210017,0.815204326923077,0.0297787769724908,-0.00861378205128205,0.0167765432284255,0.5,200,0.0250346643167742
8,"X.33",-110.689469000863,4.03868310300321,-2.15417357133153,2.05705541358133,0.806991185897436,0.0302971256842104,-0.0168269230769231,0.0168315662940752,0.5,200,0.0134291007038587
9,"X.21",-110.727602540225,4.1288805662446,-2.1923071106934,2.03718986598768,0.80448717948718,0.0305961487382983,-0.0193309294871795,0.0170478846596669,0.5,200,0.0129266427012543
10,"X.14",-110.635760601988,4.19751063327638,-2.1004651724564,1.87874021446482,0.806390224358974,0.0301645444010665,-0.0174278846153847,0.0158337212309278,0.5,200,0.0141700764009866
11,"X.2",-109.676764542338,4.14535534451835,-1.14146911280623,1.71322875450317,0.814202724358974,0.0297973561611521,-0.00961538461538469,0.0144364056359354,0.5,200,0.0369708034456453
12,"X.91",-110.021268082019,4.13112572851951,-1.48597265248759,1.71753167875314,0.814903846153846,0.0298325432411959,-0.00891426282051289,0.0145207757543561,0.5,200,0.0261964777681376
13,"X.39",-109.740396961682,4.06495184029166,-1.20510153215085,1.54517699752733,0.812800480769231,0.0301325583112488,-0.0110176282051283,0.0133329672300969,0.5,200,0.0346915480672617
14,"X.8",-109.318967461481,4.02415587001005,-0.783672031949832,1.45548763970791,0.818108974358974,0.029732228043061,-0.00570913461538469,0.012713288867053,0.5,200,0.0528747329063326
15,"X.61",-109.745691346825,4.08093436814632,-1.21039591729313,1.38756185379725,0.814903846153846,0.0299917191308742,-0.00891426282051289,0.0123675545426048,0.5,200,0.0345083630046456
16,"X.63",-109.442480426997,4.1396728980144,-0.907184997465969,1.34053990442079,0.81620592948718,0.0297763356768944,-0.00761217948717952,0.0119963542906107,0.5,200,0.0467312273192072
17,"X.40",-108.66872143115,4.14326639316597,-0.133426001618333,1.35704866558357,0.823317307692308,0.0294324405157018,-0.000500801282051322,0.0121957185637461,0.5,200,0.101308631635609
18,"X.66",-109.119948794324,4.14696476564548,-0.584653364792121,1.27290334751197,0.821614583333333,0.0295025980046449,-0.00220352564102566,0.0114168137787998,0.5,200,0.0645179999005183
19,"X.36",-109.353984718003,4.18511436665912,-0.818689288471057,1.23692089140016,0.822415865384615,0.0293768586235151,-0.00140224358974361,0.0107828793870398,0.5,200,0.0510552474339639
20,"X.12",-109.101361492191,4.17720078994236,-0.566066062659297,1.2020468195869,0.821013621794872,0.0295311189647654,-0.00280448717948723,0.0104652685242099,0.5,200,0.0657284299230776
21,"X.78",-109.150630894836,4.17672313809257,-0.615335465304786,1.14928261040641,0.821013621794872,0.029417028953714,-0.00280448717948723,0.0102174603913301,0.5,200,0.0625685122639915
22,"X.51",-108.872788626673,4.15998959571779,-0.337493197141812,1.10234716506139,0.821013621794872,0.0294787349680176,-0.00280448717948723,0.00977660005794099,0.5,200,0.0826078259127068
23,"X.28",-109.160869351108,4.16025517790746,-0.625573921576986,1.07076356164672,0.820713141025641,0.0294838629681102,-0.00310496794871795,0.00942078554523244,0.5,200,0.0619311755267618
24,"X.25",-108.949893375983,4.16500171148109,-0.414597946451733,1.07234928047957,0.82411858974359,0.0293262776821136,0.000300480769230727,0.0092038013141954,0.5,200,0.0764777364313637
25,"X.45",-108.463728881274,4.1702413676696,0.0715665482578256,1.04744280241082,0.827023237179487,0.0292126100125416,0.00320512820512819,0.00892912733662057,0.5,200,0.124357958144191
