"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-34.7020070521682,0.301903199087894,-2.31829361639121,3.41082087185741,0.46,0.0274635090992451,-0.2424,0.0840370374667847,0.5,50,0.616636320205125
1,"X.6",-35.4323967340452,3.55937403663575,-3.04868329826817,2.92530318251396,0.6144,0.0806666700252678,-0.0880000000000001,0.0619662731913326,0.5,50,0.297046810008017
2,"X.28",-39.5219876585247,4.04264435409483,-7.13827422274773,2.85322149638382,0.5392,0.082669257344225,-0.1632,0.0639841176237006,0.5,50,0.00497437040756313
3,"X.73",-51.8392983433289,5.13402573238033,-19.4555849075519,4.53426984381999,0.384,0.0823780641565785,-0.3184,0.0851952908268072,0.5,50,2.22534863120229e-08
4,"X.4",-48.1300315941388,5.322615663148,-15.7463181583618,4.45884087103597,0.4608,0.083711961460044,-0.2416,0.0788603574105253,0.5,50,9.08473241319401e-07
5,"X.8",-46.1855687641276,5.370548076546,-13.8018553283506,4.38440960715156,0.5104,0.0828026121981794,-0.192,0.0790480481492288,0.5,50,6.35011539219008e-06
6,"X.39",-50.7058402790865,6.36634105713714,-18.3221268433096,5.10029530426134,0.5184,0.0828272281293485,-0.184,0.0761917678069958,0.5,50,6.91277850276035e-08
7,"X.23",-50.9044482210355,6.68550926187898,-18.5207347852585,5.1126629513428,0.5184,0.0834711668066553,-0.184,0.0708148886561546,0.5,50,5.66758847273798e-08
8,"X.88",-49.4921319776317,6.50954677654543,-17.1084185418548,5.01819362847374,0.512,0.0838138592759583,-0.1904,0.0727311078808017,0.5,50,2.32680216665521e-07
9,"X.80",-47.7493935046028,6.59899760876111,-15.3656800688258,4.80264587821746,0.5472,0.0827655989413664,-0.1552,0.0671144426514295,0.5,50,1.32929435895643e-06
10,"X.81",-50.067290228741,7.02281826151192,-17.683576792964,5.13827366459022,0.5328,0.0835898580755235,-0.1696,0.0651786126711638,0.5,50,1.30909572568382e-07
11,"X.51",-44.7384286136383,6.20265202382868,-12.3547151778613,4.41805801408955,0.5728,0.0835526384594449,-0.1296,0.0664472742132954,0.5,50,2.69939599447179e-05
12,"X.14",-43.5952956017259,6.13703937000891,-11.211582165949,4.01260684589607,0.576,0.0839234869354121,-0.1264,0.0581107275263313,0.5,50,8.46687129822113e-05
13,"X.40",-40.5730777548895,5.87706708562586,-8.18936431911256,3.67246716203855,0.6176,0.0815186795402633,-0.0848,0.0545322315027647,0.5,50,0.00173882346502325
14,"X.82",-39.5120799960754,5.75721729018979,-7.12836656029843,3.57876393499708,0.6128,0.0820570773826927,-0.0896,0.0510522177182526,0.5,50,0.00502389974528214
15,"X.32",-41.7900221416802,5.85151080275372,-9.40630870590326,3.87418006619115,0.584,0.0830664384160948,-0.1184,0.0583496747128713,0.5,50,0.000514924149444885
16,"X.83",-43.1907678055172,5.98538175538188,-10.8070543697402,4.10190161887077,0.5776,0.082966905403248,-0.1248,0.0609700107461207,0.5,50,0.000126884083757108
17,"X.13",-40.2433493023595,5.79636754493153,-7.85963586658251,3.82435870279355,0.6,0.0828050205349912,-0.1024,0.0579117449109005,0.5,50,0.00241799133228661
18,"X.30",-40.9757065540282,5.8848654642571,-8.59199311825124,3.93778427320134,0.5952,0.0831953048037545,-0.1072,0.060946986702308,0.5,50,0.00116250820422832
19,"X.36",-41.5435836049999,5.77057568570729,-9.15987016922295,3.94200922143401,0.5856,0.0829241331571742,-0.1168,0.0615679139523241,0.5,50,0.000658825130775632
20,"X.75",-42.308925671071,5.92256846833544,-9.92521223529405,3.98005189543146,0.5792,0.0837030638304576,-0.1232,0.0619732852578899,0.5,50,0.000306468837405485
21,"X.24",-41.2867569843889,5.79797186453543,-8.90304354861189,3.89494466659275,0.592,0.0833626254467212,-0.1104,0.0609904744426936,0.5,50,0.000851742937263421
22,"X.90",-40.2395604448962,5.62150336306155,-7.85584700911921,3.73593432166856,0.5952,0.0830936178320477,-0.1072,0.0607071421709229,0.5,50,0.00242717013439812
23,"X.89",-39.995241643353,5.57262890528254,-7.611528207576,3.67653844216948,0.5984,0.0830983603999477,-0.104,0.0585918121619933,0.5,50,0.00309889261445976
24,"X.100",-38.0386042316318,5.00782144857411,-5.65489079585477,3.13648838593475,0.6064,0.0827121442930226,-0.0960000000000001,0.0588243449395847,0.5,50,0.0219261993301564
25,"X.35",-37.4135096653663,4.81770857856125,-5.02979622958931,2.8679840743546,0.6192,0.0821292150613696,-0.0832000000000001,0.0537460313572692,0.5,50,0.0409674072119483
