"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-138.470341309267,0.523305515081898,-24.969896707153,5.03397829531583,0.5,0,-0.279246794871795,0.0331186585867051,0.9,200,2.74016371992816e-13
1,"X.1",-125.791923960948,3.86432439986788,-12.2914793588342,4.24839785419023,0.705929487179487,0.0371170674635991,-0.0733173076923076,0.0337592941759437,0.9,200,8.78907571035062e-08
2,"X.10",-115.177584637113,4.32361873837892,-1.67714003499915,3.32809274010228,0.784354967948718,0.0334850009952939,0.00510817307692313,0.024100030062641,0.9,200,0.003578427337257
3,"X.27",-114.898692791548,4.55167702237316,-1.39824818943441,3.1016408061509,0.785657051282051,0.0331071164466408,0.0064102564102565,0.022735732932494,0.9,200,0.00472947999198996
4,"X.12",-115.358098367728,4.57428680754406,-1.85765376561462,2.83435934688936,0.776041666666667,0.0333617989252911,-0.00320512820512819,0.0207538752264933,0.9,200,0.00298741863581007
5,"X.60",-115.061808007884,4.67350425023175,-1.56136340577025,2.76876554116277,0.780949519230769,0.0333351151560813,0.00170272435897445,0.0209101761927518,0.9,200,0.00401766160006172
6,"X.25",-115.383147847898,4.66950006333978,-1.88270324578417,2.7892831343994,0.78125,0.0330480608527474,0.00200320512820518,0.0213055973259445,0.9,200,0.00291351484210875
7,"X.7",-115.249177811736,4.76591736552808,-1.74873320962258,2.64055198093672,0.779346955128205,0.0337699720223626,0.000100160256410353,0.0206244495869282,0.9,200,0.003331192133597
8,"X.37",-115.257608636771,4.76542179063821,-1.75716403465749,2.51288445344585,0.776842948717949,0.0336140060674186,-0.00240384615384615,0.0186345149780147,0.9,200,0.00330322549214421
9,"X.3",-113.131589284146,4.73214560797513,0.368855317967554,2.43312945213774,0.795673076923077,0.0329894563017914,0.016426282051282,0.0189173054234023,0.9,200,0.0276857756149629
10,"X.51",-113.588574581043,4.70038697584034,-0.08812997892921,2.16039309872538,0.794471153846154,0.0325133279731626,0.015224358974359,0.0161047610532988,0.9,200,0.017530346567384
11,"X.81",-113.577667813178,4.78884449542515,-0.0772232110647648,2.01786307132566,0.791466346153846,0.032744670932814,0.0122195512820513,0.0150840209862769,0.9,200,0.0177225924729551
12,"X.18",-113.325941407539,4.88519764751067,0.174503194575097,1.83670766945716,0.79306891025641,0.0328820965196229,0.0138221153846154,0.0138487457400709,0.9,200,0.022795579650843
13,"X.93",-113.030463717803,4.87037307788916,0.469980884310959,1.6894622267416,0.794871794871795,0.0326281644298008,0.015625,0.0127673667472902,0.9,200,0.0306319729752992
14,"X.65",-112.525084019796,4.87239602867288,0.975360582317708,1.59021914248778,0.795873397435897,0.032743020971518,0.0166266025641026,0.0123368538228506,0.9,200,0.0507760115738639
15,"X.49",-112.502056328872,4.88289098335821,0.998388273241382,1.47555202816568,0.794270833333333,0.0327798938879291,0.0150240384615385,0.0121102939158604,0.9,200,0.0519588324233393
16,"X.68",-112.821289020212,4.88667982065042,0.679155581902078,1.40389796746779,0.791165865384615,0.0328776533301623,0.0119190705128206,0.0112163042842929,0.9,200,0.0377588176868632
17,"X.45",-112.730456561648,4.96094206958201,0.769988040465615,1.27110380184589,0.792367788461538,0.0326942867588012,0.0131209935897436,0.0100971614139668,0.9,200,0.0413491344138795
18,"X.5",-112.415618963692,4.88668948617682,1.08482563842187,1.22460187977537,0.79306891025641,0.0323657239545657,0.0138221153846154,0.00922841311018891,0.9,200,0.0566498356344521
19,"X.56",-112.320898846147,4.94571053353579,1.17954575596652,1.22540089282488,0.794270833333333,0.0323847268161245,0.0150240384615385,0.00945062856322999,0.9,200,0.0622780604209204
20,"X.26",-112.055175750566,4.9776038483224,1.44526885154796,1.18921017083319,0.793469551282051,0.0323449497980247,0.0142227564102565,0.00901414001269672,0.9,200,0.0812338716855568
21,"X.73",-112.054456508154,4.96251436093766,1.44598809395952,1.18688108823532,0.793369391025641,0.0323602170401018,0.0141225961538463,0.00901550063022058,0.9,200,0.0812923195478996
22,"X.80",-111.972785117752,4.90673317855389,1.52765948436128,1.15001197781493,0.793469551282051,0.0323159048702244,0.0142227564102565,0.00887956684763752,0.9,200,0.0882102290566772
23,"X.4",-111.986081705971,4.90930843639525,1.51436289614238,1.08102575753718,0.793269230769231,0.0323857807658769,0.0140224358974359,0.00854022833018167,0.9,200,0.0870450972691672
24,"X.8",-111.827670515371,4.91242749174905,1.67277408674311,1.00129413415507,0.793669871794872,0.0323647922108908,0.014423076923077,0.00799027448649584,0.9,200,0.10198620248394
25,"X.87",-111.679839694187,4.88673252660582,1.82060490792638,1.01765412152246,0.795172275641026,0.0322606483406477,0.0159254807692308,0.00821616319446661,0.9,200,0.118234312597997
