"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-70.1981298573656,0.752930439905432,-2.8946332422029,0.894908997568313,0.5,0,-0.204911433172303,0.0513330295689179,0,100,0.00148487057430938
1,"X.1",-69.0104012687676,0.934308687556879,-1.70690465360484,0.899472343185257,0.657004830917874,0.0536033882282141,-0.0479066022544283,0.0653132470918822,0,100,0.00486981623213138
2,"X.5",-68.5919498185071,0.983768118630804,-1.28845320334438,0.900532025844863,0.639694041867955,0.0548581957933313,-0.0652173913043479,0.0545211605279313,0,100,0.00740020462583525
3,"X.47",-68.5581143020818,1.10771117343951,-1.25461768691901,0.905186780246577,0.644927536231884,0.0552016738521631,-0.0599838969404187,0.0520069361940136,0,100,0.00765487858717752
4,"X.28",-68.6760435161278,1.17875476979856,-1.37254690096509,0.887737812242281,0.623590982286634,0.05625477684082,-0.0813204508856683,0.0519135871432113,0,100,0.0068033419476743
5,"X.10",-68.7548911552438,1.19429254245149,-1.45139454008106,0.86624986436905,0.614331723027375,0.0571530593175997,-0.0905797101449276,0.0512371383460663,0,100,0.00628751747804931
6,"X.85",-68.9829600614468,1.23438280903103,-1.67946344628402,0.843997666156126,0.60024154589372,0.0574453083682108,-0.104669887278583,0.0503673537879518,0,100,0.00500530029029384
7,"X.2",-68.117419118769,1.28583699154538,-0.813922503606269,0.881606249090849,0.649355877616747,0.0558166881359277,-0.0555555555555556,0.0474916018456875,0,100,0.0118940509114413
8,"X.83",-67.6027501644893,1.32131112636745,-0.299253549326591,0.856499284718587,0.678341384863124,0.0545828612046745,-0.0265700483091788,0.0453447698469722,0,100,0.0198997527292119
9,"X.92",-67.7450624490048,1.3566116830057,-0.441565833842023,0.854780453832557,0.671900161030596,0.054455360553686,-0.033011272141707,0.0445257016199903,0,100,0.0172600575762592
10,"X.98",-67.3414412183001,1.30008434191216,-0.0379446031373663,0.766239021640981,0.694444444444444,0.0535095816317596,-0.0104669887278583,0.0432255299424358,0,100,0.025842392203772
11,"X.76",-67.3214304900457,1.29559774489538,-0.0179338748829219,0.792764818039198,0.688003220611916,0.0538187796381115,-0.0169082125603864,0.0428995520872796,0,100,0.026364726001757
12,"X.74",-67.3305480660348,1.25092619419078,-0.0270514508719977,0.762020149088735,0.698470209339775,0.0524971054929075,-0.00644122383252821,0.0415130495837676,0,100,0.0261254361384428
13,"X.3",-67.2308851931822,1.28308823775615,0.0726114219805165,0.740964556580308,0.707326892109501,0.0516830825081008,0.00241545893719808,0.0405012513104161,0,100,0.0288633399863615
14,"X.41",-67.2511823912385,1.29582838264717,0.052314223924232,0.727982812030571,0.70048309178744,0.0519515143087539,-0.00442834138486314,0.0386208509432046,0,100,0.0282834005409543
15,"X.75",-66.943321524258,1.31396927682536,0.360175090904715,0.724685474515663,0.708132045088567,0.0515964864689353,0.0032206119162641,0.0381457188801521,0,100,0.0384798968898727
16,"X.82",-67.1511041467847,1.30755162155238,0.152392468378011,0.694431882136155,0.692431561996779,0.0523264429089674,-0.0124798711755234,0.037274268426602,0,100,0.0312604376023242
17,"X.23",-67.0944001675993,1.30077699775052,0.209096447563443,0.700911952754251,0.705314009661836,0.0521011188848288,0.000402576489533013,0.0378448428677059,0,100,0.0330842488272175
18,"X.8",-66.2726136973121,1.3345740501242,1.03088291785067,0.719096222189924,0.728260869565217,0.0506342566874406,0.0233494363929146,0.0388914299348586,0,100,0.0752520972116405
19,"X.27",-66.4484141684008,1.34626230561374,0.85508244676199,0.721323399294568,0.72061191626409,0.0511498671871239,0.0157004830917874,0.039345348148478,0,100,0.0631203550848603
20,"X.17",-66.1732544743107,1.37534621554052,1.13024214085206,0.744195992682631,0.726650563607085,0.0506296784207255,0.0217391304347826,0.0387461210499389,0,100,0.083113155297736
21,"X.26",-66.2727947616252,1.39215728586443,1.03070185353755,0.755556068294985,0.730676328502415,0.0505342419634125,0.0257648953301127,0.0390503648035528,0,100,0.0752384729758174
22,"X.12",-66.1855899972223,1.40006323942463,1.11790661794047,0.735143151752452,0.729871175523349,0.0502478975723438,0.0249597423510467,0.0376241200615281,0,100,0.0820942086070761
23,"X.51",-66.144773719848,1.40431013803001,1.15872289531472,0.708892664309745,0.731884057971015,0.0503356737248041,0.0269726247987118,0.0365566423084122,0,100,0.0855143117331675
24,"X.71",-65.8793067462573,1.38363141877699,1.42418986890544,0.681413085577319,0.749194847020934,0.0491468838174688,0.0442834138486312,0.0360677971487643,0,100,0.111514064751885
25,"X.84",-66.0157647028057,1.38454600293243,1.28773191235709,0.661768507506644,0.739130434782609,0.0498843744965846,0.034219001610306,0.0360305483818101,0,100,0.0972896651947319
