"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-35.6503940098537,1.42830461009959,1.14468097724424,1.5477168662345,0.54,0.0273025404625006,0.00560000000000005,0.0904390983655741,0,50,0.515674875648826
1,"X.91",-36.4022110860734,1.8016572104198,0.392863901024548,1.6040926676517,0.4912,0.0827565751338293,-0.0432,0.0937506292710991,0,50,0.243145348067726
2,"X.18",-38.8045592626427,2.39894705535916,-2.00948427554477,1.93497243168978,0.4416,0.0821293093620458,-0.0928,0.0826688936655756,0,50,0.0220059138401951
3,"X.70",-39.1838338360873,2.79714143650362,-2.38875884898939,2.26855102182586,0.4592,0.0831526293249952,-0.0752,0.0930311173155385,0,50,0.0150599161512244
4,"X.28",-40.1923560296418,3.18686141900076,-3.39728104254385,2.68968084550275,0.4592,0.0832307400985903,-0.0752,0.0979209165076448,0,50,0.00549321921239085
5,"X.4",-39.2770220348376,3.37913195554699,-2.4819470477397,2.72646592952095,0.512,0.0843822490045258,-0.0224,0.0998217723005251,0,50,0.0137199153980818
6,"X.38",-39.3092885979339,3.33636304231704,-2.51421361083593,2.52977383378942,0.5088,0.0842431941480352,-0.0256,0.0933149851355333,0,50,0.0132842867959872
7,"X.48",-39.4143962318408,3.39313690288683,-2.61932124474289,2.36604325070777,0.5168,0.0841153431562506,-0.0175999999999999,0.0891216335646217,0,50,0.0119588819170379
8,"X.29",-39.34829939664,3.59118543808581,-2.5532244095421,2.56434142866802,0.5312,0.0840715022809948,-0.00319999999999998,0.0908914341356676,0,50,0.0127760342811592
9,"X.72",-38.9467424566659,3.56590876970723,-2.15166746956793,2.59845976477784,0.5504,0.0826081339599434,0.016,0.0900472004687483,0,50,0.019089301249917
10,"X.47",-39.2618038704912,3.58851209645065,-2.46672888339327,2.57674890689298,0.5456,0.0829606260015161,0.0112,0.0892271503649438,0,50,0.0139303041302243
11,"X.17",-39.4383460728997,3.59095929312743,-2.64327108580175,2.56010871323629,0.5632,0.0827958544702943,0.0288,0.086070869830306,0,50,0.0116758711549328
12,"X.79",-39.0020536989954,3.61533080429253,-2.2069787118975,2.59146649590884,0.568,0.0826912797901283,0.0336,0.0857450215689997,0,50,0.0180621175473683
13,"X.25",-39.8956209920958,3.63328644812538,-3.10054600499789,2.64356485006213,0.5376,0.0832781287615326,0.00319999999999998,0.0851449687110978,0,50,0.00739089988882336
14,"X.10",-39.9258924152592,3.55179232893457,-3.13081742816128,2.70454159829746,0.5472,0.0830487481770935,0.0128,0.0815887262851154,0,50,0.00717051927683557
15,"X.71",-40.1235900576856,3.58636422442333,-3.32851507058763,2.75980697679994,0.5392,0.0836991566852293,0.00480000000000003,0.0842905584406582,0,50,0.00588425672670369
16,"X.41",-40.1031749845223,3.54404459762791,-3.30809999742442,2.76512085603982,0.5328,0.0839884426735819,-0.00160000000000005,0.08638362108367,0,50,0.00600561885158865
17,"X.59",-40.3457096437693,3.57432715455589,-3.55063465667134,2.84606081652938,0.512,0.084205281530389,-0.0224,0.0891319568712353,0,50,0.00471222806951045
18,"X.80",-40.1858876394039,3.53968300345638,-3.39081265230599,2.70959279123011,0.5168,0.0837005127476649,-0.0175999999999999,0.0854412973143116,0,50,0.0055288666644432
19,"X.36",-39.8267939546973,3.51717935244975,-3.03171896759935,2.67477381916833,0.5312,0.0838073281691298,-0.00319999999999998,0.0845519731543038,0,50,0.00791750820782192
20,"X.60",-39.7722685144227,3.45813737627672,-2.97719352732474,2.66466653675526,0.5152,0.0839755169920945,-0.0192,0.0867930552518176,0,50,0.00836120015809048
21,"X.62",-39.9836931583847,3.48656911867804,-3.18861817128676,2.72627959124487,0.5216,0.0836584712851382,-0.0128,0.0880391569045205,0,50,0.00676780853671364
22,"X.26",-40.0250088967262,3.45947487735255,-3.22993390962824,2.71679364423604,0.5136,0.0836492569878529,-0.0208,0.0877382005701427,0,50,0.00649388908595313
23,"X.49",-40.141601824892,3.42537645866079,-3.34652683779407,2.67673170577565,0.5168,0.0842376760570392,-0.0175999999999999,0.0876030258321103,0,50,0.00577921965568967
24,"X.39",-40.1542908366261,3.44876285571328,-3.35921584952817,2.74384734437456,0.5248,0.0845727674856746,-0.00959999999999994,0.0899223557970582,0,50,0.00570635036702143
25,"X.32",-40.0386902154246,3.40884370176993,-3.24361522832664,2.70664046113119,0.5264,0.0844856689983398,-0.00800000000000001,0.0896155514905656,0,50,0.00640564911573438
