"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-1000.64908272497,16.5511574455417,-261.508003070325,20.9566113341931,1.78991860924004,0.0566719649149688,0.73503505395732,0.0581243388415862,0.9,500,"forward"
1,"X.3",-826.030147234023,14.4167366730181,-86.8890675793751,13.6392106618079,1.2621825932532,0.0375132922334646,0.207299037970472,0.0300570915308662,0.9,500,"forward"
2,"X.8",-767.779313633155,16.1246862485636,-28.6382339785069,10.1321396266138,1.12304506352839,0.0348956824027832,0.0681615082456701,0.0208900752250758,0.9,500,"forward"
3,"X.15",-757.310229452065,15.8948714572233,-18.1691497974171,8.70066369318785,1.09869966973097,0.0327123419295471,0.0438161144482452,0.0173762923948656,0.9,500,"forward"
4,"X.5",-741.749346244169,16.0314855350792,-2.60826658952093,7.20767472018481,1.06498182294488,0.0320043786024199,0.010098267662155,0.0141794741619068,0.9,500,"forward"
5,"X.10",-735.431914044099,15.9598740990184,3.7091656105492,6.28251517037945,1.05176376948606,0.0314035816247272,-0.00311978579666761,0.0122125317080627,0.9,500,"forward"
6,"X.1",-732.099896310512,15.8225198160016,7.04118334413571,6.0577078963998,1.04472528290642,0.030999135078916,-0.0101582723763065,0.0116194204473049,0.9,500,"forward"
7,"X.84",-733.102884291431,16.112137475484,6.03819536321685,5.8593775776259,1.04632919704448,0.0313034873977962,-0.00855435823824724,0.0114388885508834,0.9,500,"forward"
8,"X.99",-732.15394853182,16.0568528392808,6.98713112282773,5.43460525552068,1.04427014568307,0.0309586470716999,-0.0106134095996526,0.0104676486426749,0.9,500,"forward"
9,"X.95",-735.223846992196,16.2098576688153,3.91723266245221,5.00426792640754,1.04971061823729,0.0308294185332819,-0.00517293704543209,0.009550630513522,0.9,500,"forward"
10,"X.7",-732.049172944752,16.2260532447486,7.09190670989578,4.7494841062594,1.04345241209216,0.0308661080035893,-0.0114311431905656,0.00919478543822958,0.9,500,"forward"
11,"X.13",-728.673595296471,16.0860244007394,10.4674843581768,4.50466395998818,1.03682714418716,0.0307097151467051,-0.0180564110955592,0.00878112522318075,0.9,500,"forward"
12,"X.9",-728.640704186043,16.1807893568422,10.5003754686048,4.41556235338816,1.03667116191505,0.030888323383006,-0.0182123933676721,0.00866832509088045,0.9,500,"forward"
13,"X.4",-726.661667486176,16.039535831424,12.4794121684719,4.2440406129397,1.03276732919836,0.030552644477036,-0.0221162260843646,0.00828339059282918,0.9,500,"forward"
14,"X.47",-724.612236713327,16.0161033572952,14.5288429413214,3.96754254918916,1.02882327535994,0.0305257438346704,-0.0260602799227827,0.00773531992740294,0.9,500,"forward"
15,"X.80",-726.140364159185,15.992124395443,13.000715495463,3.81064481080944,1.03149653373572,0.0303998175789632,-0.0233870215470078,0.00729767587019433,0.9,500,"forward"
16,"X.70",-728.226044491393,16.0065594528209,10.9150351632554,3.60407695571692,1.03528425940553,0.0302364618357521,-0.0195992958771927,0.00682147558484301,0.9,500,"forward"
17,"X.40",-728.186387696796,15.946459237792,10.9546919578515,3.44344766519979,1.03516025690429,0.0300402795013345,-0.0197232983784337,0.00642200966818651,0.9,500,"forward"
18,"X.42",-730.271428369628,16.0265442922821,8.86965128501975,3.30742679164964,1.03893809581712,0.0300860830192573,-0.0159454594656048,0.00608837379406872,0.9,500,"forward"
19,"X.64",-731.460444015867,16.0982413857848,7.68063563878073,3.22827598154586,1.0409298235204,0.0301677636554796,-0.0139537317623231,0.00593374488070961,0.9,500,"forward"
20,"X.73",-733.223407811331,16.0910332524967,5.91767184331723,2.95376081185493,1.0441352935425,0.0299615841103255,-0.0107482617402224,0.00538719165034028,0.9,500,"forward"
21,"X.31",-735.352049006691,16.2641414685399,3.78903064795728,2.68923768875252,1.04800448906287,0.0301109233103228,-0.00687906621985745,0.00490659421066258,0.9,500,"forward"
22,"X.29",-737.051227001845,16.4401508401242,2.0898526528029,2.51705679475996,1.05102976845257,0.0302551874952544,-0.00385378683015358,0.00462690363423914,0.9,500,"forward"
23,"X.14",-735.510369808709,16.2841489988721,3.63070984593888,2.35178504817278,1.04820348464841,0.0300142398902889,-0.00668007063431086,0.00427755310687155,0.9,500,"forward"
24,"X.53",-735.993589911264,16.3240043395392,3.14748974338389,2.2626361014341,1.04909166142948,0.0300776742468759,-0.00579189385324264,0.00412699040522443,0.9,500,"forward"
25,"X.57",-736.569377386209,16.3884137658464,2.57170226843922,2.12783563602346,1.05004009902157,0.0301408997897988,-0.00484345626115412,0.00384545808147134,0.9,500,"forward"
0,NA,-1000.64908272497,16.5511574455417,-261.508003070325,20.9566113341931,1.78991860924004,0.0566719649149688,0.73503505395732,0.0581243388415862,0.9,500,"L1"
1,"X.3",-826.030147234023,14.4167366730181,-86.8890675793751,13.6392106618079,1.2621825932532,0.0375132922334646,0.207299037970472,0.0300570915308662,0.9,500,"L1"
2,"X.5",-818.25397318224,14.5999114455506,-79.1128935275915,13.4766311338322,1.24288453333339,0.0370838888205945,0.188000978050665,0.0292151683885231,0.9,500,"L1"
3,"X.1",-816.50892511524,14.4430547813942,-77.3678454605918,13.3848896984394,1.2384893523102,0.0366317895219392,0.183605797027476,0.0287630088227327,0.9,500,"L1"
4,"X.4",-815.883410930486,14.4315049348311,-76.7423312758383,13.47857687974,1.23691399487141,0.036464310612306,0.182030439588689,0.0289171122545332,0.9,500,"L1"
5,"X.7",-744.841067626103,16.153911649071,-5.69998797145496,9.49711046331919,1.07328544645418,0.0345532146434279,0.018401891171453,0.0194828959952498,0.9,500,"L1"
6,"X.8",-744.043577435834,16.2801585884916,-4.90249778118631,8.92196603118291,1.07125326199501,0.0339790496169665,0.0163697067122857,0.0180732066985405,0.9,500,"L1"
7,"X.10",-741.902538340289,16.2463492312003,-2.76145868564108,8.55817806758535,1.06661555040052,0.0335479607508575,0.0117319951177983,0.0171270238243995,0.9,500,"L1"
8,"X.9",-741.43110511419,16.2894737182214,-2.29002545954164,8.5132204881215,1.06560166561403,0.0337039620511156,0.0107181103313085,0.0171201574956547,0.9,500,"L1"
9,"X.15",-726.366418464345,15.7456039946881,12.7746611903032,5.65287839840042,1.03315438530012,0.0307632563247106,-0.0217291699826017,0.0109627664480771,0.9,500,"L1"
10,"X.13",-723.347431987327,15.6082545371311,15.7936476673207,5.43994567950236,1.02716377351927,0.030607580523974,-0.0277197817634511,0.0105388574712861,0.9,500,"L1"
11,"X.2",-722.192019084651,15.4649243375632,16.9490605699973,5.36428234348975,1.02500218783539,0.0303663525940465,-0.0298813674473344,0.0103776046158385,0.9,500,"L1"
12,"X.14",-720.722599983668,15.303741253136,18.4184796709795,5.33124175600557,1.02211204488227,0.0300484832357599,-0.032771510400452,0.0101918672675673,0.9,500,"L1"
13,"X.6",-720.926853962516,15.3134709898116,18.2142256921319,5.29605421234674,1.02251476413438,0.0301080834461456,-0.0323687911483419,0.0101273290730312,0.9,500,"L1"
14,"X.84",-722.345754666618,15.5751487442994,16.7953249880305,5.02961999638994,1.02500966978017,0.0303282044714143,-0.0298738855025524,0.00981943693384575,0.9,500,"L1"
15,"X.95",-725.066151493625,15.7682406584876,14.0749281610228,4.58059343145727,1.02998409705911,0.0303561574369191,-0.0248994582236126,0.00890774834775875,0.9,500,"L1"
16,"X.99",-724.681270562046,15.7762067837016,14.4598090926017,4.02718519332722,1.02905335712991,0.0301669037136203,-0.0258301981528168,0.00783022387315038,0.9,500,"L1"
17,"X.98",-724.993395403884,15.8242720341484,14.1476842507637,3.999139678067,1.02958302607533,0.0302449234784924,-0.025300529207396,0.00778471029362896,0.9,500,"L1"
18,"X.80",-726.462837051874,15.8129240087611,12.6782426027738,3.83403686157378,1.03216523294692,0.0301531815953112,-0.0227183223358078,0.00734290090081626,0.9,500,"L1"
19,"X.83",-726.407698839272,15.8133695680569,12.7333808153762,3.83183936654359,1.03211472888448,0.030162346854376,-0.0227688263982444,0.00734852541275712,0.9,500,"L1"
20,"X.43",-728.413239612395,15.8891638557351,10.7278400422533,3.73231605844594,1.03575265982356,0.0302019837791591,-0.0191308954591667,0.00710204119006495,0.9,500,"L1"
21,"X.47",-726.312280049269,15.8589772320478,12.8287996053791,3.44723725884654,1.03172013962029,0.030154559558998,-0.023163415662437,0.00648089331150264,0.9,500,"L1"
22,"X.53",-727.333954227716,15.9402648712662,11.8071254269321,3.42790972935753,1.03362743226554,0.0302637665830486,-0.0212561230171833,0.00649366234220723,0.9,500,"L1"
23,"X.65",-728.541455973944,16.0157407085414,10.5996236807042,3.41566179351034,1.03571903356177,0.0303330328473077,-0.0191645217209504,0.00647723896618811,0.9,500,"L1"
24,"X.38",-728.209000359635,15.946007820097,10.9320792950128,3.17753019680128,1.03496746904661,0.0301540405590112,-0.0199160862361105,0.00596318718233546,0.9,500,"L1"
25,"X.40",-728.425586779034,15.9344452144653,10.7154928756145,3.16317759473546,1.03540386915632,0.0300966918051882,-0.0194796861264024,0.00587679208992594,0.9,500,"L1"
