"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-193.239931716857,7.43738214424929,-39.6531786281603,8.14918327529386,1.670967298077,0.117968922106229,0.547711680591955,0.108067674143423,0.9,100,"forward"
1,"X.1",-174.663485407674,8.21391176411553,-21.0767323189774,6.68798284112271,1.37081015996351,0.0905360106446136,0.247554542478462,0.0719862360269885,0.9,100,"forward"
2,"X.7",-156.750607313995,8.44434994864755,-3.16385422529873,3.96472698122221,1.15690978318224,0.0857268100656836,0.0336541656971923,0.0412363410597471,0.9,100,"forward"
3,"X.3",-154.504191714713,8.46251385688362,-0.917438626016397,3.6007147801262,1.13163079274447,0.085293611680032,0.0083751752594261,0.0366624122315248,0.9,100,"forward"
4,"X.11",-148.999000555958,7.91677667120736,4.58775253273782,3.22248717660403,1.07172190498261,0.0814098301067592,-0.0515337125024398,0.0332912496203223,0.9,100,"forward"
5,"X.91",-147.874183699753,7.67028315309538,5.71256938894275,2.92971352396738,1.06032333091631,0.0790487047856342,-0.0629322865687354,0.0300894790144266,0.9,100,"forward"
6,"X.77",-149.329941106579,8.01796098702932,4.25681198211716,2.77064413320912,1.0761965838707,0.0805832425646795,-0.0470590336143524,0.0283991828240323,0.9,100,"forward"
7,"X.68",-149.331760145947,7.94865592900287,4.25499294274874,2.66650653908866,1.07636825109213,0.0792562240301122,-0.0468873663929197,0.027497754362426,0.9,100,"forward"
8,"X.43",-149.452102484911,7.94167459448434,4.13465060378512,2.26728597661058,1.07921943443572,0.0784589066667485,-0.0440361830493248,0.0233371836455307,0.9,100,"forward"
9,"X.46",-151.305297922832,8.24254888960243,2.28145516586375,2.09449909443226,1.09785016652721,0.0799112844030069,-0.0254054509578419,0.0216674528738187,0.9,100,"forward"
10,"X.31",-153.026385808788,8.77345497535704,0.560367279907778,1.97068703805478,1.11634639175488,0.0830284354435573,-0.00690922573017216,0.019183051472156,0.9,100,"forward"
11,"X.57",-155.87227714824,9.29529691887724,-2.28552405954367,1.89693775470135,1.1452594812424,0.085688303963171,0.0220038637573496,0.0159861367937271,0.9,100,"forward"
12,"X.9",-157.050423464267,9.25279360514798,-3.46367037557033,1.88896001899789,1.1554492389259,0.0842011867186389,0.0321936214408507,0.0156228342092947,0.9,100,"forward"
13,"X.4",-157.019211243089,9.30847501053726,-3.43245815439268,1.83103127431212,1.15447644342925,0.0842649080011993,0.0312208259441993,0.014166399413826,0.9,100,"forward"
