"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-1005.5507816941,14.7437559483076,-275.137057047618,16.9968518480555,1.80225557203615,0.0573564456533519,0.759978208033225,0.0562243265197076,0,500,"forward"
1,"X.5",-985.431765825924,14.1501034644215,-255.01804117944,16.2567549025131,1.73561389171813,0.0511117158786675,0.693336527715209,0.0504721563480507,0,500,"forward"
2,"X.2",-962.506600398979,16.3370929920358,-232.092875752494,16.9518497064804,1.65882692987392,0.0538042591528288,0.616549565870999,0.0509128035477661,0,500,"forward"
3,"X.3",-939.858244379748,18.3847751334115,-209.444519733263,17.4841483299207,1.58390336337464,0.0537307384891531,0.541625999371719,0.0492131511766544,0,500,"forward"
4,"X.1",-890.547469613245,16.7163797482461,-160.133744966761,14.4487565608883,1.43613787702,0.045858624211965,0.393860513017074,0.0383915601767399,0,500,"forward"
5,"X.4",-854.908826531082,15.7097548115948,-124.495101884598,13.5171569870542,1.3376080635998,0.0407423679261494,0.295330699596873,0.0344752048332704,0,500,"forward"
6,"X.9",-837.370768893575,15.657846476919,-106.957044247091,13.0111492043952,1.29140365678128,0.0386512216043604,0.249126292778352,0.0316734184121077,0,500,"forward"
7,"X.7",-807.529430539302,14.818630138831,-77.1157058928174,11.7708681569451,1.21642971379054,0.0371024949537931,0.174152349787614,0.0286673674141713,0,500,"forward"
8,"X.8",-781.066622180845,14.1754733656988,-50.6528975343609,9.90958580274528,1.15227476126494,0.0353373868821762,0.109997397262017,0.0238491639748443,0,500,"forward"
9,"X.10",-759.06026252118,13.9750590554192,-28.6465378746959,8.40191065233135,1.10121639346307,0.0336572322955304,0.0589390294601506,0.0196421359691196,0,500,"forward"
10,"X.6",-741.753315087319,13.3819772210713,-11.3395904408351,7.12055221189127,1.06233308167671,0.031873889903023,0.0200557176737903,0.0160422977126848,0,500,"forward"
11,"X.13",-734.809765820191,13.0040145336692,-4.39604117370725,6.83793337535922,1.04731110893589,0.0309959378765494,0.00503374493296405,0.0151975182158475,0,500,"forward"
12,"X.15",-730.277425260093,13.3766007826011,0.136299386391607,6.22261570748541,1.03751757506795,0.031794846510509,-0.00475978893497619,0.0140514080229878,0,500,"forward"
13,"X.12",-724.65435190565,13.5696934377879,5.75937274083413,5.75609869398934,1.02539522385163,0.0323065751687557,-0.0168821401512906,0.0132417629003709,0,500,"forward"
14,"X.75",-727.524064062224,13.9213280738582,2.8896605842604,5.62762638529408,1.0325778525666,0.0327623158120459,-0.00969951143631986,0.0130419601206418,0,500,"forward"
15,"X.11",-721.211502238276,13.5151124870131,9.20222240820776,5.42580231334404,1.01838076742624,0.031998806987032,-0.0238965965766791,0.0124980769299187,0,500,"forward"
16,"X.100",-719.951037404761,13.4376637998143,10.4626872417227,5.05112740360395,1.01585330300075,0.031949356792451,-0.0264240610021778,0.0115200668442647,0,500,"forward"
