"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-406.276372090421,10.2459678049339,-100.006057105896,10.9317983752545,1.8449458122357,0.0929443086709189,0.723976290807126,0.0887322197390415,0.5,200,"forward"
1,"X.2",-366.35939336793,9.75115422605693,-60.0890783834057,10.3135076433019,1.51121341210449,0.0725785854645563,0.390243890675911,0.0693787160264444,0.5,200,"forward"
2,"X.5",-349.880679009098,9.95119632465558,-43.6103640245737,10.0362700708236,1.39171965684522,0.0708611670884378,0.270750135416646,0.0659954290060525,0.5,200,"forward"
3,"X.9",-334.3368286534,10.0732312880431,-28.0665136688754,9.57551885438887,1.28659318078479,0.0697395735726222,0.16562365935621,0.0618136064656422,0.5,200,"forward"
4,"X.15",-332.105680988446,10.5156250778028,-25.8353660039221,9.23998130365325,1.27370059483785,0.0691106598468186,0.152731073409271,0.0574296688084592,0.5,200,"forward"
5,"X.3",-321.077277134575,10.0891530129377,-14.8069621500511,8.4333799773212,1.20406257944789,0.0659265974530013,0.0830930580193183,0.0523081192652894,0.5,200,"forward"
6,"X.8",-314.864613137181,9.56489966524775,-8.59429815265647,7.11304880075069,1.16694887127308,0.0617867603967555,0.0459793498444996,0.0433782468623143,0.5,200,"forward"
7,"X.4",-305.027000952584,8.80452122785957,1.24331403194038,6.45744375340333,1.10878136773461,0.0569217751954898,-0.0121881536939619,0.0390414714492462,0.5,200,"forward"
8,"X.1",-301.262003502303,8.9076500254347,5.00831148222151,5.71529518226474,1.0877173363082,0.0567199611194026,-0.0332521851203751,0.0343703926637924,0.5,200,"forward"
9,"X.32",-307.11509613633,9.52966430049977,-0.844781151805851,4.85205366031181,1.12465735695846,0.0573978678194234,0.00368783552988217,0.0282978657070588,0.5,200,"forward"
10,"X.13",-307.355317357119,9.95628361456631,-1.08500237259452,4.99108081020039,1.12683684045139,0.0590620146245156,0.00586731902281024,0.0287246670749409,0.5,200,"forward"
11,"X.7",-305.334688124613,9.9160709275218,0.935626859911642,4.71824539934044,1.11569766062583,0.0584618638933468,-0.00527186080275066,0.0273145929443861,0.5,200,"forward"
12,"X.82",-306.044242537102,10.3657881208833,0.226072447422296,4.78466953766525,1.1210326690562,0.0600601423011671,6.31476276276022e-05,0.0272936677662226,0.5,200,"forward"
13,"X.58",-307.423150890107,10.4955785241732,-1.15283590558272,4.55595576278072,1.1283891732826,0.0602081999998035,0.00741965185402815,0.0256661499990276,0.5,200,"forward"
14,"X.10",-305.034053538707,10.0377816335327,1.23626144581687,3.91474406417209,1.11467581766118,0.0579868897303276,-0.00629370376739158,0.0224324162591141,0.5,200,"forward"
15,"X.31",-306.048671165966,10.2027860007204,0.221643818558504,3.60781404142643,1.12053107445574,0.0583311941418914,-0.00043844697283224,0.0204081841252227,0.5,200,"forward"
16,"X.77",-306.950264869752,10.0742237087538,-0.679949885227778,3.48419018234168,1.1251203759882,0.0567529566643201,0.00415085455962028,0.0192937275379254,0.5,200,"forward"
17,"X.12",-304.681982408392,9.6875323381152,1.58833257613247,2.98555007373706,1.11193440336674,0.0549545159344317,-0.00903511806183688,0.0164191007627719,0.5,200,"forward"
18,"X.17",-305.255969707401,9.66559580992418,1.0143452771238,2.80978924643922,1.11479939554796,0.0544944900242791,-0.00617012588062127,0.0153286482975548,0.5,200,"forward"
19,"X.48",-304.962112911166,9.57278926007438,1.30820207335868,2.5615078314003,1.11332022397015,0.0539810303350161,-0.00764929745842502,0.0139155016364023,0.5,200,"forward"
20,"X.88",-304.030282615989,9.49575529331976,2.24003236853511,2.51414060945245,1.10835115058574,0.0536968150951001,-0.0126183708428338,0.0134718567083768,0.5,200,"forward"
21,"X.53",-304.762709599575,9.54621414709531,1.50760538494943,2.42715165011431,1.11229410959703,0.0536774649819119,-0.00867541183154796,0.0128651444912241,0.5,200,"forward"
22,"X.38",-304.593005508729,9.67061408618683,1.67730947579521,2.34839965592448,1.11187870171314,0.0544306903436775,-0.00909081971543979,0.0124630481262144,0.5,200,"forward"
23,"X.14",-304.138820713107,9.62430325518654,2.13149427141761,2.24599387944557,1.10953635286946,0.0541645687547754,-0.0114331685591162,0.0120188393945275,0.5,200,"forward"
24,"X.44",-304.811360861248,9.66759180466378,1.45895412327601,2.1349139142374,1.11332564005868,0.0542966825774043,-0.00764388136989869,0.0112425377229455,0.5,200,"forward"
25,"X.52",-304.729369867943,9.62097446238062,1.54094511658156,1.99438370711868,1.11276850782417,0.0541646144653471,-0.00820101360440817,0.0106190022348,0.5,200,"forward"
0,NA,-406.276372090421,10.2459678049339,-100.006057105896,10.9317983752545,1.8449458122357,0.0929443086709189,0.723976290807126,0.0887322197390415,0.5,200,"L1"
1,"X.2",-366.35939336793,9.75115422605693,-60.0890783834057,10.3135076433019,1.51121341210449,0.0725785854645563,0.390243890675911,0.0693787160264444,0.5,200,"L1"
2,"X.5",-349.880679009098,9.95119632465558,-43.6103640245737,10.0362700708236,1.39171965684522,0.0708611670884378,0.270750135416646,0.0659954290060525,0.5,200,"L1"
