"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-1022.65234167812,15.392641091442,-274.643642796178,17.2231063083167,1.87025781499654,0.0603440597000899,0.790174332746159,0.0584970151606858,0.5,500,"forward"
1,"X.5",-931.311568417333,16.986526666572,-183.302869535388,15.3265540728788,1.55515203941921,0.0473273866153865,0.475068557168828,0.0400257574330234,0.5,500,"forward"
2,"X.1",-895.226745038003,17.7207914420396,-147.218046156058,13.9827693766425,1.4449176189014,0.0453097277699039,0.364834136651019,0.0341167268276936,0.5,500,"forward"
3,"X.10",-857.155715051437,16.104008692468,-109.147016169492,12.1066606124233,1.34175031759967,0.0403982925025582,0.261666835349287,0.0285209713945349,0.5,500,"forward"
4,"X.3",-825.582100362669,15.9677637446775,-77.573401480724,11.1062190613066,1.26011656704535,0.0385577999268197,0.180033084794974,0.0249738317819312,0.5,500,"forward"
5,"X.2",-816.199834116451,16.5925899959637,-68.1911352345063,10.5616976462464,1.23557499741489,0.0379715328832591,0.155491515164515,0.0229963345909961,0.5,500,"forward"
6,"X.11",-803.233454732062,16.5964566245448,-55.2247558501165,10.0291049044167,1.20470673588087,0.0371265873222135,0.124623253630491,0.0214814024982511,0.5,500,"forward"
7,"X.8",-788.55243423095,16.1457990101293,-40.5437353490044,9.00426980337466,1.17072448232406,0.0359955874164399,0.0906410000736855,0.019264701161568,0.5,500,"forward"
8,"X.4",-776.253727542963,15.8750102738559,-28.2450286610179,7.45971253770581,1.14274108610763,0.0352498242947952,0.0626576038572477,0.0160788846664051,0.5,500,"forward"
9,"X.7",-754.952755577881,15.2444770219197,-6.94405669593594,6.16574041039153,1.09557487023156,0.0344551135979866,0.0154913879811855,0.0135359097867998,0.5,500,"forward"
10,"X.14",-748.985429241955,14.7729423132036,-0.976730360010208,5.26622421673718,1.08245511809913,0.0334363016570509,0.00237163584875266,0.0117519556966575,0.5,500,"forward"
11,"X.85",-751.602055209352,14.9713620988023,-3.59335632740673,4.71831395927332,1.08831366370461,0.0332284651569029,0.00823018145422938,0.0105282776131418,0.5,500,"forward"
12,"X.6",-746.514108417278,14.9419313237963,1.49459046466716,4.44474064846847,1.07711977059206,0.0334192290810741,-0.00296371165832121,0.00985979993967221,0.5,500,"forward"
13,"X.54",-745.492947923863,15.0461887707533,2.51575095808205,4.39808592243741,1.07479683993072,0.0334231486781513,-0.00528664231965625,0.0097157366193282,0.5,500,"forward"
14,"X.9",-743.27741886172,14.8504093872797,4.73128002022534,4.31035396009782,1.06981583535057,0.0329645484942025,-0.0102676468998073,0.0095861827684684,0.5,500,"forward"
15,"X.15",-741.284619723084,14.6955097590859,6.72407915886097,4.22889104084881,1.06544558240028,0.0327002436858975,-0.0146378998501027,0.00935988980254258,0.5,500,"forward"
16,"X.37",-741.592320317303,14.810863088443,6.4163785646417,4.05662640794652,1.06610477050828,0.0328765793980204,-0.0139787117420955,0.00899298207985952,0.5,500,"forward"
17,"X.32",-743.6178296955,15.0646151649027,4.3908691864454,3.96516463021322,1.07071592575862,0.0333143089475955,-0.00936755649175813,0.00880167600075009,0.5,500,"forward"
18,"X.93",-742.774755020197,15.0296888221983,5.23394386174777,3.8702366488034,1.068798623389,0.033270168145942,-0.0112848588613763,0.008545700340818,0.5,500,"forward"
