"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-202.592933004351,6.45892003383988,-38.2156412772305,5.61239392363906,1.8340256255924,0.122354983252747,0.592181193984752,0.100041745345291,0,100,"forward"
1,"X.3",-197.933405043495,7.29405164900407,-33.5561133163742,6.62797320393099,1.74716006260885,0.117923086656779,0.505315631001207,0.105354251215576,0,100,"forward"
2,"X.1",-186.187106537327,7.20311285958391,-21.8098148102062,6.07181028644889,1.55633482994759,0.113176065738398,0.314490398339949,0.094515821848289,0,100,"forward"
3,"X.4",-177.164843199737,7.92063966181064,-12.7875514726163,6.16268760099653,1.42146066692836,0.117722631808391,0.179616235320718,0.0917814328841591,0,100,"forward"
4,"X.5",-173.729477900915,7.5011834273223,-9.35218617379413,5.44456981250431,1.37169779715808,0.10983016013398,0.129853365550437,0.0799326855686727,0,100,"forward"
5,"X.2",-165.858526664787,6.5234347375567,-1.48123493766656,4.64656184994433,1.26062832435647,0.0953928301026424,0.0187838927488262,0.0685901107550785,0,100,"forward"
6,"X.37",-166.681779824069,6.8121657311112,-2.30448809694892,4.70234052393577,1.27527890307752,0.0965772797968058,0.0334344714698753,0.0676290531749278,0,100,"forward"
7,"X.8",-166.564415202494,6.68417606836564,-2.18712347537382,4.30589865440372,1.27312572711369,0.0905455764900826,0.0312812955060435,0.059433665686559,0,100,"forward"
8,"X.12",-166.885182773542,6.85790176422344,-2.50789104642163,4.16825047403344,1.27607828211361,0.0904482915571171,0.0342338505059663,0.0563014637348783,0,100,"forward"
9,"X.91",-169.144464879568,7.39805062505271,-4.76717315244704,4.68274796155793,1.30606991453583,0.0930882803149405,0.064225482928191,0.0608577143723945,0,100,"forward"
10,"X.74",-172.465413800036,7.95387451481695,-8.08812207291513,4.98902488189222,1.34696682817956,0.0950049424550196,0.105122396571919,0.0614458994651459,0,100,"forward"
11,"X.85",-175.116639745055,8.38168704422253,-10.739348017934,5.3197142592588,1.37741273426024,0.095739758182585,0.135568302652599,0.0623761996190876,0,100,"forward"
12,"X.14",-173.390098208486,8.28404867170727,-9.01280648136499,4.94687740978884,1.35553519042567,0.0938725425888946,0.113690758818026,0.0567335661611974,0,100,"forward"
