"day","loss","age","subj_id"
2,0,14,"10850"
2,8,14,"10866"
2,7,14,"11252"
2,0,13,"11440"
2,18,13,"11446"
2,5,13,"11475"
2,13,13,"11483"
2,20,13,"11484"
2,15,13,"11542"
2,18,13,"11717"
2,5,13,"11754"
2,13,13,"11781"
2,18,13,"11799"
2,0,13,"11895"
2,28,13,"11916"
2,5,13,"12017"
2,10,12,"12164"
2,21,12,"12298"
2,6,12,"12355"
2,1,12,"12368"
2,10,12,"12381"
2,22,12,"12505"
2,27,12,"12520"
2,8,12,"12532"
2,7,12,"12630"
2,4,12,"12631"
2,5,12,"12749"
2,1,12,"12906"
2,9,11,"12947"
2,15,11,"12958"
2,0,11,"13121"
2,6,11,"13129"
2,10,11,"13131"
2,5,11,"13260"
2,8,11,"13279"
2,13,11,"13312"
2,0,11,"13442"
2,2,11,"13473"
2,10,11,"13578"
2,10,11,"13590"
2,4,10,"13790"
2,16,10,"13825"
2,0,10,"13883"
2,10,10,"13922"
2,3,10,"14043"
2,5,10,"14066"
2,0,10,"14077"
2,1,10,"14137"
2,14,10,"14165"
2,3,10,"14177"
2,6,10,"14307"
2,8,10,"14323"
2,12,10,"14351"
2,0,9,"14651"
2,0,9,"14666"
2,11,9,"14699"
2,13,9,"14823"
2,3,9,"14826"
2,12,9,"14902"
2,8,9,"14919"
2,8,9,"14985"
2,11,9,"15041"
2,0,9,"15088"
2,6,9,"15120"
2,10,9,"15218"
2,15,21,"5453"
2,2,8,"15530"
2,6,8,"15642"
2,12,8,"15732"
2,12,8,"15820"
2,15,8,"15909"
2,1,8,"15926"
2,3,8,"16002"
2,9,8,"16090"
2,21,8,"16097"
2,7,8,"16169"
2,10,8,"16236"
2,10,8,"16258"
2,16,7,"16447"
2,10,7,"16553"
2,2,7,"16556"
2,21,7,"16598"
2,2,7,"16670"
2,0,7,"16736"
2,0,7,"16807"
2,19,7,"16972"
2,19,7,"17037"
2,18,7,"17047"
2,5,7,"17069"
2,6,7,"17103"
2,9,7,"17285"
2,9,6,"17516"
2,1,6,"17718"
2,12,6,"17738"
2,0,6,"17794"
2,2,6,"18038"
2,0,6,"18067"
2,2,6,"18069"
2,15,6,"18106"
2,2,6,"18153"
2,11,5,"18230"
2,9,5,"18232"
2,11,5,"18364"
2,11,5,"18407"
2,15,5,"18450"
2,7,5,"18489"
2,15,5,"18520"
2,9,5,"18569"
2,22,5,"18652"
2,10,5,"18653"
2,10,5,"18873"
2,16,5,"18947"
2,9,4,"19178"
2,0,4,"19220"
2,5,4,"19239"
2,0,18,"22020"
2,0,18,"22021"
2,0,22,"22023"
2,0,17,"22024"
2,9,22,"22025"
2,2,19,"22047"
2,0,19,"22048"
2,0,19,"22049"
2,16,21,"22050"
2,0,22,"22052"
2,0,23,"22053"
2,2,19,"22054"
2,16,23,"22055"
2,2,20,"22056"
2,1,21,"22057"
2,0,25,"22058"
2,0,19,"22060"
2,2,21,"22062"
2,13,21,"22064"
2,34,6,"17927"
