"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-993.388769788579,16.0019481956172,-275.618407467392,17.0971024172781,1.76415387078385,0.0582480723666276,0.748693955891461,0.0559370668624274,0,500,0
1,"X.2",-986.06256950926,16.8998489773262,-268.292207188072,17.4339911615454,1.73469182255022,0.0536478299793968,0.719231907657826,0.0518108148195697,0,500,0
2,"X.4",-945.001269584319,16.2805694919147,-227.230907263132,15.9627807873529,1.59952860675568,0.0476307254754994,0.584068691863292,0.0448517641874169,0,500,0
3,"X.3",-911.140367664263,17.1320124888664,-193.370005343076,15.6888113028051,1.49358501725461,0.0460676677942889,0.478125102362219,0.041800156280616,0,500,0
4,"X.5",-868.780361902002,16.0191510080281,-151.009999580815,14.3703008282706,1.37511804422887,0.0427095234618072,0.359658129336481,0.0378336653335378,0,500,0
5,"X.1",-821.019065976517,14.0478673874105,-103.24870365533,12.3608295671047,1.24880771573712,0.0371373302223015,0.233347800844728,0.0315332723179928,0,500,0
6,"X.6",-803.98555470487,14.2348837637573,-86.2151923836827,11.6331499704854,1.20718567189021,0.0360335630894983,0.191725756997819,0.0288954450451623,0,500,0
7,"X.9",-790.590996111362,15.3138448882149,-72.8206337901744,11.0159615957527,1.17594400012404,0.0369676548773524,0.160484085231648,0.0266158327322803,0,500,0
8,"X.8",-765.643180130731,13.9122175861952,-47.8728178095442,9.65783763782944,1.11683959805405,0.0341417552838711,0.101379683161661,0.0230522453701712,0,500,0
9,"X.7",-742.494498722203,13.7955632379768,-24.7241364010156,8.44557295320247,1.06327088504441,0.0337504491312383,0.0478109701520166,0.0202549339871616,0,500,2.02109934783493e-15
10,"X.10",-719.022686115034,13.0983830581936,-1.25232379384704,6.74603646945668,1.01003013556268,0.0319664176856581,-0.00542977932970778,0.015982722056328,0,500,3.15587666384112e-05
11,"X.15",-716.459630924099,13.1422635157622,1.31073139708793,6.06961086764449,1.00654872584087,0.0312477697941446,-0.00891118905152366,0.014106629227507,0,500,0.00040948759355056
12,"X.13",-713.867316703393,13.1688386198912,3.90304561779439,5.73684490030478,1.00191627336384,0.0308038276842476,-0.0135436415285495,0.0132324657597773,0,500,0.00547102261112713
13,"X.14",-711.357848486989,13.1522615462757,6.412513834198,5.2851139878104,0.997156354838398,0.0302737677400681,-0.018303560053992,0.0119050800356307,0,500,0.067284760142119
14,"X.11",-709.938483866021,13.3395288784465,7.83187845516628,4.94674590341191,0.994909275337669,0.0304524183751548,-0.0205506395547213,0.0111621977015635,0,500,0.278188345294786
15,"X.45",-714.175223323657,13.6250932505736,3.59513899753041,4.74165791020796,1.0053593736448,0.030599755364177,-0.0101005412475881,0.0104787355402496,0,500,0.0040211137951048
16,"X.12",-711.538219960004,13.4907471203715,6.23214236118303,4.32925656948706,0.999704552010372,0.03034091300402,-0.0157553628820177,0.00970384681037724,0,500,0.0561800825673213
17,"X.88",-712.045379586955,13.5054711233604,5.7249827342322,4.05351571630195,1.00118455041952,0.0302660526640466,-0.0142753644728744,0.00903728373038362,0,500,0.0338318499299176
18,"X.27",-712.313245434025,13.5194854067006,5.45711688716262,3.93203911811887,1.00210384314989,0.0300981538778514,-0.0133560717425039,0.00860992641871016,0,500,0.0258817171358119
19,"X.32",-709.582897536334,13.4549242309119,8.18746478485355,3.64575349893213,0.996152156665111,0.0300550910462151,-0.0193077582272795,0.00806354636232421,0,500,0.396979528965064
20,"X.92",-712.296815870889,13.5514416667009,5.47354645029786,3.59776605267366,1.00249488190833,0.0300517818983256,-0.0129650329840629,0.00795645882393654,0,500,0.0263104547835979
21,"X.62",-712.632553748348,13.6494017166742,5.13780857283933,3.59750612369867,1.00334403235219,0.0301722213415952,-0.012115882540199,0.0079523361407324,0,500,0.0188069880023391
22,"X.91",-711.908499569003,13.5967721808279,5.86186275218461,3.42886100727672,1.00185004410992,0.0299419621054347,-0.0136098707824712,0.00764583825585268,0,500,0.0387946628738114
23,"X.42",-712.509055569455,13.6699223222768,5.26130675173205,3.37172627528668,1.00327334550413,0.0300557675546395,-0.0121865693882599,0.00752002056318095,0,500,0.0212791279090578
24,"X.41",-712.653322984455,13.8040506406839,5.1170393367324,3.32688714981301,1.00375174432199,0.0303403253047416,-0.0117081705703992,0.00739219206109717,0,500,0.018420409593326
25,"X.51",-713.473821256184,13.7902080424263,4.29654106500337,3.1670914356416,1.00568667348003,0.0302255257947424,-0.00977324141236346,0.00700973191781744,0,500,0.00810889003642488
