"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-108.801318461456,6.36908354405443,-25.7336465850743,5.29246090149998,2.06826960703922,0.186247589662974,0.798047309504744,0.145953576507119,0.5,50,6.85546147371984e-10
1,"X.4",-98.7935466402043,6.33610473085793,-15.7258747638231,5.27287168750725,1.69873069733909,0.158690622826567,0.428508399804612,0.126465301913283,0.5,50,1.52179717182443e-05
2,"X.2",-95.8617377531321,6.65378728101712,-12.7940658767509,5.47015433001506,1.56513684008014,0.139360823616587,0.294914542545668,0.112809347726567,0.5,50,0.00028551254437123
3,"X.6",-90.9102824526967,6.88391192614315,-7.84261057631546,5.25580465212196,1.43785355656908,0.138684988643081,0.167631259034607,0.102833567295327,0.5,50,0.0403659249741732
4,"X.47",-98.9944925304229,10.1633893958153,-15.9268206540417,7.66831218002328,1.57052007592092,0.177348121792598,0.300297778386442,0.123257275453323,0.5,50,1.24476417723404e-05
5,"X.1",-93.4961830968453,8.41695763504909,-10.4285112204641,6.16188450205357,1.43942451032744,0.14209608590473,0.16920221279297,0.0973003491146719,0.5,50,0.00304069267684435
6,"X.7",-93.4682242406187,8.10018739429224,-10.4005523642375,5.49688763687044,1.41463797239421,0.131320686656366,0.144415674859735,0.0817601190139269,0.5,50,0.00312690657113672
7,"X.75",-95.6157543947994,9.09429457204017,-12.5480825184182,6.37830912046798,1.45111779457122,0.145595753922306,0.180895497036749,0.0899441442016451,0.5,50,0.000365135794718193
8,"X.78",-96.4567083513427,9.03125315102071,-13.3890364749615,6.38078649032217,1.44983885707926,0.138873136992559,0.179616559544787,0.0863984541166991,0.5,50,0.000157482661764838
9,"X.52",-95.8440837464723,8.75763908415642,-12.776411870091,6.08329492413155,1.42851146944692,0.13364656947848,0.158289171912444,0.0820974943289725,0.5,50,0.000290597739695098
10,"X.99",-97.4821902166886,9.22495756171662,-14.4145183403074,6.37780044013805,1.45795594719713,0.141085676182805,0.187733649662658,0.084300648956258,0.5,50,5.64770015361925e-05
11,"X.69",-95.5828558813409,8.98497328540793,-12.5151840049597,5.93774102142346,1.43014721246696,0.145103497365665,0.159924914932491,0.0840939453701989,0.5,50,0.000377347999840547
12,"X.94",-95.5281617600115,8.67874799338488,-12.4604898836303,5.86086358172557,1.42235150239522,0.140265085663606,0.152129204860747,0.0869617127775359,0.5,50,0.000398561557571746
13,"X.64",-94.0224348430053,8.58989000374999,-10.9547629666241,5.8778987344737,1.3969497989255,0.138637798915111,0.126727501391023,0.0885660295836715,0.5,50,0.00179648790951842
14,"X.28",-94.8297647576611,8.78018722465013,-11.7620928812799,6.11985068314695,1.40643535181358,0.139943471163529,0.136213054279108,0.0910440445429592,0.5,50,0.000801318873297882
15,"X.21",-94.862492764607,8.84914645979696,-11.7948208882257,6.39393668825692,1.41897495890342,0.142579568509032,0.148752661368946,0.0985328804449862,0.5,50,0.00077551781521734
16,"X.49",-93.4915055763084,8.86009341364072,-10.4238336999272,6.58038351094273,1.40463294470498,0.144923624434547,0.134410647170502,0.105260951466784,0.5,50,0.00305494889517099
17,"X.76",-93.3649922287463,8.83549000162302,-10.2973203523651,6.62652966551924,1.40259573788905,0.146039565026643,0.132373440354579,0.107115998458768,0.5,50,0.00346695335212186
18,"X.40",-93.9184332023388,9.00276475577163,-10.8507613259576,6.52264778939143,1.41683350863407,0.147945385815266,0.146611211099594,0.104175601446538,0.5,50,0.00199338707213268
19,"X.24",-93.1495488044941,8.70322451067439,-10.0818769281129,6.36846951357294,1.40276079114107,0.142741298157911,0.132538493606596,0.103105318074807,0.5,50,0.00430044986089272
20,"X.29",-94.1522613559171,8.7313531903481,-11.0845894795359,6.59793155268072,1.42471092015651,0.144884520334375,0.154488622622033,0.109214381916078,0.5,50,0.00157776152256246
21,"X.32",-92.7593122036197,8.38688324068514,-9.69164032723852,6.4455188123967,1.40163515542442,0.140966012359262,0.131412857889942,0.107883517671733,0.5,50,0.00635318484087097
22,"X.33",-92.6248672744417,8.64785020721108,-9.55719539806045,6.66406108852141,1.40177000683866,0.144990860744352,0.131547709304182,0.110642658566065,0.5,50,0.00726741869632475
23,"X.3",-89.9689600091955,8.01024913069408,-6.90128813281424,6.22620458725516,1.36472424290264,0.138995789851869,0.0945019453681655,0.108492254191449,0.5,50,0.103472764312623
24,"X.14",-88.4171095339558,7.72762167174453,-5.34943765757456,5.78260210393514,1.34580475363322,0.136624726040553,0.0755824560987486,0.102772566637194,0.5,50,0.488411802006952
25,"X.72",-88.8145364956369,7.73641411705077,-5.74686461925573,5.83752676360985,1.35884537155515,0.137731336084271,0.0886230740206746,0.10421662609848,0.5,50,0.328235699021627
