"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-999.281421970013,13.2740190919658,-269.524745580529,17.686669761974,1.77863230749307,0.0537529272164024,0.737857215830062,0.0523265238307613,0.5,500,0
1,"X.4",-907.357247248841,14.6710404264397,-177.600570859358,15.130346685092,1.48538030052719,0.0449726072329484,0.444605208864185,0.0380224724629709,0.5,500,0
2,"X.9",-876.608242188265,16.3105876193959,-146.851565798782,15.082816987551,1.39670184223005,0.0452445770243557,0.355926750567037,0.0371646374977611,0.5,500,0
3,"X.2",-827.007890287113,16.8316139670513,-97.2512138976301,12.261209541416,1.26493542412249,0.0417816117710028,0.224160332459479,0.0286463816065057,0.5,500,0
4,"X.3",-811.128002071018,17.635962929294,-81.3713256815349,11.8186016531683,1.22496560097943,0.0420408599538173,0.18419050931642,0.0275320441441679,0.5,500,0
5,"X.11",-802.271872648577,17.7830631108563,-72.5151962590936,11.6323551486468,1.20215038140454,0.0398930326855888,0.161375289741527,0.0258104988424928,0.5,500,0
6,"X.8",-782.597236444082,16.8262235123284,-52.8405600545986,10.0103581356056,1.15611312667793,0.0365347507188435,0.115338035014923,0.0214261093000393,0.5,500,0
7,"X.1",-766.49616044729,16.6820289676351,-36.7394840578063,8.67546357210082,1.11989435771599,0.0356243602565141,0.0791192660529827,0.0184454271837965,0.5,500,0
8,"X.5",-756.669006674356,16.5957279668827,-26.9123302848727,7.74931540461197,1.09838873640992,0.0353162142145363,0.0576136447469087,0.0161563715412001,0.5,500,0
9,"X.6",-739.090131891453,15.8705549887078,-9.3334555019694,7.01187130112765,1.06086259860293,0.0339457881748592,0.0200875069399251,0.0145263795903871,0.5,500,4.56421322879635e-08
10,"X.13",-734.650647827839,16.1855897210283,-4.8939714383562,6.14332884190616,1.05141043592859,0.0340444002930866,0.0106353442655804,0.0126213725436162,0.5,500,3.85989672296882e-06
11,"X.7",-725.976717755776,15.8133265758807,3.77995863370717,5.58346347523074,1.03313197997911,0.0333779075301133,-0.00764311168389487,0.0113542325752841,0.5,500,0.0225744043801727
12,"X.22",-729.243530906518,16.0839424000573,0.513145482965657,5.13516851438161,1.03996691654477,0.0334874739264429,-0.000808175118233168,0.0102762425797922,0.5,500,0.000860711110776335
13,"X.34",-731.644066277442,16.448759488108,-1.88738988795837,5.03917471374139,1.0449359634365,0.0340138881583337,0.00416087177349223,0.0100553073800757,0.5,500,7.80402589291836e-05
14,"X.10",-727.965456036629,16.3298195177747,1.79122035285441,4.68139956895331,1.03745056916144,0.0338014639969983,-0.00332452250156501,0.00924773491520751,0.5,500,0.00308971364504102
15,"X.14",-725.068417399544,16.1635239305593,4.68825898993898,4.20171168773221,1.03130466801634,0.0335096702727942,-0.00947042364666739,0.00829033931488395,0.5,500,0.0559868629500927
16,"X.37",-725.858001253281,16.4459306483083,3.89867513620252,3.9689245498201,1.03305138819882,0.0338437598865683,-0.00772370346418771,0.00782305861559805,0.5,500,0.0254199226670557
17,"X.62",-726.942699564287,16.6527776135149,2.81397682519591,3.66527135647322,1.0351156009381,0.0341391965190319,-0.00565949072490368,0.00719974079982585,0.5,500,0.00859202887064654
18,"X.100",-727.406214844603,16.6067902223544,2.35046154488064,3.39287486819959,1.03605643113969,0.0338405794673891,-0.00471866052331715,0.00662338177594983,0.5,500,0.00540497396886753
19,"X.15",-723.476018391963,16.2931584099665,6.28065799752035,3.20045804371097,1.02816458158062,0.0333862218619052,-0.012610510082391,0.00628173972489191,0.5,500,0.27520494687202
20,"X.32",-723.716363023794,16.2835130950597,6.04031336568932,3.0972481880027,1.02870887263983,0.0333160284408736,-0.0120662190231742,0.00613385535100133,0.5,500,0.216409284406
21,"X.45",-724.155541921945,16.2794555275579,5.60113446753803,2.97731483656753,1.02958157825827,0.0333035058982579,-0.0111935134047385,0.00594564294989127,0.5,500,0.13948994952211
22,"X.64",-724.528393377569,16.2899916818505,5.22828301191427,2.90354915283345,1.03038994050289,0.0333065194442221,-0.0103851511601156,0.0058268165779318,0.5,500,0.0960761489804857
23,"X.71",-724.694977331804,16.3271766136532,5.06169905767912,2.77962470454751,1.03066757498341,0.0333693955151248,-0.0101075166795934,0.00559671817539807,0.5,500,0.0813334313559052
24,"X.80",-725.000706038484,16.3789295441795,4.75597035099971,2.75497109267025,1.03122851865363,0.0334752364925735,-0.00954657300938089,0.00557106940154199,0.5,500,0.0599091012016179
25,"X.76",-726.835259292204,16.4803458666371,2.92141709727958,2.63660521113351,1.03493772590272,0.0335781097618607,-0.00583736576028504,0.00535706144108294,0.5,500,0.00956657427142356
