"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-408.786371635539,12.8607990221715,-125.353563946408,11.7282008784493,1.86284478017698,0.107593479935073,0.864077765690982,0.0901777681055514,0.9,200,3.0900022822644e-56
1,"X.5",-333.205842256721,13.0056704588901,-49.7730345675904,8.95655628273925,1.27089364595144,0.0702068262255236,0.272126631465443,0.0462228416394106,0.9,200,2.06141602930179e-23
2,"X.8",-308.509465301675,12.1554053959632,-25.076657612544,6.39768856513007,1.12864019566073,0.0619277103468145,0.129873181174739,0.0311997120976659,0.9,200,1.09563496468758e-12
3,"X.13",-299.761115756052,11.9144122718762,-16.3283080669215,5.25217021490205,1.07884102595643,0.0572434632509919,0.0800740114704347,0.0248902272642736,0.9,200,6.90280836537886e-09
4,"X.7",-297.074807854354,11.918578568552,-13.6420001652231,4.57757992952712,1.06458699722537,0.0563298603887451,0.0658199827393736,0.0214073963325449,0.9,200,1.01315178786034e-07
5,"X.3",-289.552029160634,10.9448247197336,-6.11922147150354,4.23562882029949,1.02879743409441,0.0526482180523315,0.0300304196084186,0.020427633322563,0.9,200,0.000187402677010131
6,"X.59",-289.105994141252,10.9649610632746,-5.67318645212129,4.18522446487313,1.02593994653705,0.0521560609343542,0.0271729320510504,0.0203387865978241,0.9,200,0.000292742877951264
7,"X.83",-290.357416200354,11.0036375115979,-6.92460851122356,4.01829586787677,1.03108206767102,0.051928179441039,0.0323150531850217,0.0194804764432594,0.9,200,8.37530522643263e-05
8,"X.42",-290.537069439063,11.3029206812656,-7.10426174993242,3.31085954131885,1.0323650740018,0.0530722062152626,0.0335980595158035,0.015433355728529,0.9,200,6.99806920594255e-05
9,"X.15",-291.006755353261,11.083510513762,-7.57394766413055,2.93410649158477,1.03379456164165,0.0513105906468809,0.0350275471556535,0.0135823033550861,0.9,200,4.3751830944209e-05
10,"X.2",-289.800543661986,11.182531041031,-6.36773597285539,2.97699935536405,1.02803811766733,0.0516751493630096,0.0292711031813381,0.0140613159864756,0.9,200,0.000146166320283116
11,"X.39",-289.445427338068,11.251642999642,-6.01261964893679,2.51122028211364,1.02591441582649,0.0517498450358719,0.0271474013404903,0.0117492899397566,0.9,200,0.000208483828540721
12,"X.9",-287.855719322739,11.2656919530688,-4.42291163360803,2.42915372213912,1.01823127811626,0.0521372178265358,0.0194642636302643,0.0113172808024405,0.9,200,0.00102205388314107
13,"X.14",-286.62474065591,11.2839826069231,-3.19193296677897,2.57710646849071,1.01252345110983,0.0523257126410957,0.0137564366238373,0.0120988910309283,0.9,200,0.00350010469340967
14,"X.69",-284.907606840492,10.9916963668268,-1.47479915136104,2.23721840145074,1.00518491345875,0.0514628470264618,0.00641789897275402,0.0104636405454445,0.9,200,0.0194904908101661
15,"X.34",-283.760560015447,10.9520701898245,-0.327752326316724,2.0941254095816,1.00037651272762,0.0515862899566402,0.00160949824162382,0.00954844696326564,0.9,200,0.0613732161491699
16,"X.93",-283.681795207073,10.8392793554668,-0.248987517942324,2.05965225123047,0.99963251811816,0.0510248171924268,0.000865503632164755,0.00952378501044512,0.9,200,0.0664027405708062
17,"X.77",-283.331657153549,10.8721944246082,0.101150535581996,1.95938852267029,0.997824941812548,0.0512784505044263,-0.000942072673446481,0.00891440851731687,0.9,200,0.094242983959732
18,"X.88",-282.910327003433,10.8109750512633,0.522480685697926,1.90209835397843,0.995657565359639,0.0509044184971841,-0.00310944912635602,0.00863379463739387,0.9,200,0.143625114434517
19,"X.50",-283.022162637978,10.773783401247,0.41064505115243,1.82593646370964,0.996258740454844,0.0507399311295544,-0.00250827403115061,0.008145988113436,0.9,200,0.128428316236864
20,"X.41",-283.735298233858,10.8508999572673,-0.302490544726896,1.68921713379518,0.999443050040396,0.0508658820468244,0.000676035554400767,0.00748917318294884,0.9,200,0.0629433617697189
21,"X.24",-283.947456016291,10.8142073818078,-0.514648327160257,1.69908213368802,1.00002044357797,0.0506050832323566,0.00125342909197868,0.00760480518304583,0.9,200,0.0509109241346085
22,"X.62",-283.592617692483,10.8149585932347,-0.15981000335261,1.66448554163501,0.998593817549974,0.0506874989167146,-0.000173196936020692,0.00750281516745333,0.9,200,0.0725964370279971
23,"X.1",-283.271510072943,10.7824099749418,0.161297616187804,1.58744028053627,0.996828544012136,0.0505388058863143,-0.00193847047385876,0.00710473716838744,0.9,200,0.10008536415742
24,"X.21",-283.291529249084,10.8199806169341,0.141278440046656,1.46179665709444,0.996637865774681,0.0506440321280204,-0.00212914871131431,0.0066096431109488,0.9,200,0.0981016599352112
25,"X.19",-283.31063814656,10.8428643025049,0.1221695425712,1.43961164358985,0.996484456044387,0.0506912888533434,-0.00228255844160841,0.00649654940129552,0.9,200,0.0962448427391025
