"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-421.915914460867,14.6166620392777,-106.9948190589,16.2480454788777,1.96960381097441,0.11514700749785,0.806263494649745,0.11519302205551,0.5,200,2.18790298642694e-50
1,"X.1",-377.038342788254,13.0372969781846,-62.1172473862873,12.1626957365685,1.57707464256173,0.0854882328486837,0.413734326237059,0.0756820901642228,0.5,200,6.76253926455685e-31
2,"X.3",-363.957507927894,13.1559955187985,-49.0364125259267,10.6926734814649,1.47716417403406,0.0805613081164242,0.313823857709397,0.0640762030201773,0.5,200,3.24372627153373e-25
3,"X.8",-345.670485206808,12.5881727670506,-30.7493898048408,8.76484378567638,1.35495020774641,0.073097193757887,0.191609891421746,0.0503841529396666,0.5,200,2.83790110073492e-17
4,"X.2",-332.260722571834,11.6669769362013,-17.3396271698668,6.92487905423501,1.27064452197912,0.0656231495030094,0.107304205654456,0.0386601953210998,0.5,200,1.89139907570171e-11
5,"X.13",-333.652030561855,11.5524833123921,-18.7309351598882,6.3962130403585,1.27375190045237,0.0613681222591659,0.110411584127702,0.0346494420387673,0.5,200,4.70485008626636e-12
6,"X.10",-326.543668846,11.1742992612666,-11.6225734440329,5.61189138156186,1.23205143285432,0.0591860967975905,0.0687111165296579,0.030314732240766,0.5,200,5.75000282871896e-09
7,"X.5",-317.691672065056,10.6986521340641,-2.77057666308885,4.73147854977711,1.18296722440374,0.0576280627454251,0.0196269080790721,0.0253919732701984,0.5,200,4.01829127270647e-05
8,"X.9",-313.932510265808,10.3775548908097,0.988585136159034,4.35969321225062,1.1615283654624,0.0558623528539158,-0.00181195086226293,0.022814525383073,0.5,200,0.00172434689808708
9,"X.87",-317.45503888256,11.3230745356139,-2.53394348059288,3.95649187180529,1.18098088708806,0.0594492875196806,0.0176405707633944,0.0202600663344551,0.5,200,5.09107974250478e-05
10,"X.33",-321.482723076422,12.3670610910066,-6.56162767445558,3.63507510140579,1.2021516388717,0.063347408137172,0.0388113225470328,0.018241778723922,0.5,200,9.07003325269836e-07
11,"X.4",-318.466268250038,12.2390839835554,-3.54517284807082,3.34876200672697,1.18624912312098,0.062986001718039,0.022908806796313,0.0167733571571186,0.5,200,1.85198969276368e-05
12,"X.44",-316.708965783343,12.2271423432848,-1.78787038137598,3.17386575051061,1.17605193565943,0.0629115269094095,0.0127116193347676,0.0160218681659235,0.5,200,0.000107355754770178
13,"X.46",-315.460702284982,12.0924040174431,-0.53960688301487,3.27109157489977,1.16944550924814,0.06207214974333,0.00610519292346923,0.0167292571707936,0.5,200,0.000374058285477971
14,"X.55",-314.368049626283,11.8900246367975,0.553045775683537,3.06616836520478,1.16326347958727,0.0608704853612762,-7.68367373977785e-05,0.0157966702330621,0.5,200,0.00111550699824728
15,"X.7",-311.141250044811,11.8157129951362,3.77984535715559,2.90345581508091,1.14657164828364,0.0611860064253301,-0.0167686680410271,0.0148705402775468,0.5,200,0.0281095278983711
16,"X.14",-308.445693403769,11.5156963809775,6.47540199819834,3.0154425364682,1.13306721317076,0.0604124502649421,-0.0302731031539072,0.0154616680044535,0.5,200,0.416407867655191
17,"X.16",-309.774897514947,11.6052927661193,5.14619788701998,2.91104068547682,1.13958932099031,0.0603614933246007,-0.0237509953343533,0.0149985742557111,0.5,200,0.110218098875021
18,"X.35",-308.785950465352,11.5396375102876,6.13514493661495,2.72594779779588,1.13415038059159,0.060174149167797,-0.0291899357330723,0.0140102292935217,0.5,200,0.296310582503262
19,"X.74",-310.0791827775,11.4803007795507,4.84191262446718,2.5116726550858,1.14081970873301,0.0593317771518341,-0.0225206075916544,0.0130628581967892,0.5,200,0.0813024260885482
20,"X.22",-310.920772990024,11.6459437148106,4.00032241194276,2.43135525058972,1.14611543933389,0.0602093836970387,-0.0172248769907775,0.0126353725712525,0.5,200,0.0350433422291562
21,"X.83",-312.403290254145,11.8863276629717,2.51780514782209,2.31934500618057,1.15461658401209,0.0612512914103204,-0.00872373231257706,0.0118656782388082,0.5,200,0.00795712998864735
22,"X.94",-312.148322145008,11.8459359122151,2.7727732569589,2.28862918132307,1.15311559291656,0.0610813444074321,-0.0102247234081045,0.0116616526460237,0.5,200,0.0102680434006575
23,"X.65",-313.408174965237,11.9474415990535,1.51292043673034,2.14728201251731,1.15969577947071,0.0612418082919067,-0.00364453685395461,0.0109397806778484,0.5,200,0.00291300055807824
24,"X.26",-313.048363785882,11.9018431375548,1.87273161608524,2.13761893832061,1.15760677693358,0.0609200510740275,-0.00573353939108667,0.0109919404935121,0.5,200,0.00417450107811574
25,"X.77",-313.125737138856,11.9233205328297,1.79535826311104,2.10343698891051,1.15826942868807,0.0609949650685996,-0.00507088763659347,0.0108316669272348,0.5,200,0.00386368540434195
