"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-101.071626772728,5.22903730489201,-11.7124607428668,4.06298362363869,1.82648088695422,0.198268314395334,0.413186631915551,0.144670813439374,0,50,0.00149265133023519
1,"X.21",-107.503420069513,7.29184438990967,-18.144254039652,5.23634806012069,2.03140228284098,0.217638984734824,0.618108027802311,0.151611615762942,0,50,2.4025145958845e-06
2,"X.94",-114.597438757075,8.93248026770496,-25.2382727272146,6.4119631001372,2.20343027583166,0.235611567760232,0.79013602079299,0.163292250637329,0,50,1.99421906691856e-09
3,"X.8",-110.85319321653,8.71828551897553,-21.4940271866691,5.73382582434653,2.08352603228978,0.231854619304127,0.670231777251111,0.147297744207982,0,50,8.43097965740826e-08
4,"X.2",-105.126673678721,8.32899150468885,-15.7675076488606,5.44003927015235,1.88813271704126,0.214128116341343,0.474838462002592,0.132597698625181,0,50,2.58746138531768e-05
5,"X.4",-103.216858904854,7.96749350147047,-13.8576928749929,5.06705798993037,1.80750713848987,0.1962611864156,0.394212883451199,0.116184651148824,0,50,0.000174701202753033
6,"X.5",-100.106150057035,7.19610530152868,-10.7469840271742,4.35777356021889,1.69429458363941,0.166216712455138,0.281000328600743,0.0945552510521881,0,50,0.00391976095325205
7,"X.19",-102.751149522427,8.16104908701693,-13.3919834925662,5.14551868441722,1.76185377434569,0.190345880935579,0.348559519307022,0.117310176017508,0,50,0.000278324161854753
8,"X.3",-103.227428368609,8.3715360138384,-13.8682623387483,5.3105021679916,1.74288456612949,0.180608487270552,0.329590311090822,0.109414647195005,0,50,0.000172864428680354
9,"X.1",-96.5105872121147,7.16150834187248,-7.15142118225396,4.79556026936569,1.56629772141387,0.14537667882711,0.153003466375203,0.102848891605055,0,50,0.142821202467906
10,"X.53",-95.705877983635,7.9661813361678,-6.34671195377429,5.19459507378131,1.57904116244046,0.165473864344902,0.165746907401794,0.100612573991251,0,50,0.319354810731656
11,"X.22",-96.9137961802162,8.19034878761919,-7.55463015035549,5.53084051123341,1.60196781835629,0.16378155913048,0.18867356331762,0.106607362290552,0,50,0.0954291939080287
12,"X.48",-96.804737662602,8.35640450496797,-7.44557163274134,5.29071252467771,1.59959737235825,0.173566907790034,0.186303117319586,0.0907808888783962,0,50,0.106425271740442
13,"X.85",-97.4267098914066,8.96930520613928,-8.06754386154589,6.10483336655689,1.67669463349511,0.19870654554165,0.263400378456439,0.114190748786049,0,50,0.0571380823826577
14,"X.62",-98.3331333108452,8.86840084458121,-8.97396728098448,5.80101364669848,1.66931988677067,0.198594402164966,0.256025631732006,0.107459660702406,0,50,0.0230818689828123
15,"X.23",-100.265138794099,8.70046356633761,-10.9059727642387,5.92434059427857,1.66889560207249,0.184880984234946,0.255601347033822,0.106636347340257,0,50,0.00334357947946135
16,"X.81",-100.785372126701,8.74981049881304,-11.4262060968408,5.89766514276119,1.66755529111553,0.185736294998094,0.254261036076863,0.101461556433011,0,50,0.00198736293364235
17,"X.98",-100.083251869671,8.73562440046318,-10.72408583981,5.77348981328126,1.64464763747937,0.185063600900008,0.2313533824407,0.0963545716969207,0,50,0.00401055188084147
18,"X.73",-97.2912576440169,8.52231265744945,-7.93209161415624,5.2903237397155,1.61203720760104,0.193099274191946,0.198742952562371,0.0920136150801647,0,50,0.0654262192213765
19,"X.70",-98.2294022327184,8.66656322940903,-8.87023620285765,5.43170354949631,1.63396363890685,0.195891707460881,0.220669383868178,0.0948655928260208,0,50,0.0256047657161337
20,"X.58",-97.3776489795194,8.41779654889979,-8.01848294965873,4.80249599756511,1.60227961489786,0.194562140745406,0.188985359859187,0.0807912004820923,0,50,0.0600112322066052
21,"X.80",-99.1261125851685,8.30972962592034,-9.7669465553078,4.68945785030649,1.60606214686689,0.182552994968147,0.192767891828223,0.0713205804462279,0,50,0.0104444229034506
22,"X.6",-98.3989861405383,8.47992405381406,-9.03982011067757,4.80742834450424,1.6057950332386,0.184441492632529,0.192500778199933,0.0704708441318704,0,50,0.021610830198835
23,"X.41",-98.5897512407355,8.473762675126,-9.23058521087478,4.80882056841799,1.58718651197726,0.176540752837679,0.173892256938592,0.0660508153911802,0,50,0.0178576053395979
24,"X.24",-98.2442294210442,8.32894075777168,-8.88506339118349,4.70689369467544,1.5795120755226,0.173323375135232,0.16621782048393,0.0646763855162489,0,50,0.0252279197200649
25,"X.35",-98.8218716034882,8.40714026210352,-9.4627055736275,4.74787212632622,1.59470229848022,0.176406395765057,0.181408043441547,0.0662162756863032,0,50,0.0141584146772482
