"size","solution_terms","elpd","se","diff","diff.se","ref.loo.elpd","spline.elpd","spline.elpd.se","mono.spline.elpd","mono.spline.elpd.se","spline.elpd.diff","spline.elpd.diff.se","mono.spline.elpd.diff","mono.spline.elpd.diff.se","n","rho","run"
14,"X.5",-148.656691312461,3.58480431957518,-11.4587320426515,1.9280893096995,-136.419122633715,-146.297301644057,1.47687087068555,-177.427935535924,28.9025857626589,-11.240614003116,0.365322144884263,-11.452572401205,0.342061429670343,100,0,1
15,"X.54",-148.103354744118,3.59255600173868,-10.9053954743085,1.94423116073996,-136.419122633715,-149.604530387614,1.48006441559498,-177.811600818765,28.9650839183635,-11.3401002837247,0.368380600535065,-11.5112330280786,0.344925147972523,100,0,1
16,"X.6",-147.502413517435,3.46065705931246,-10.3044542476256,1.78522146072056,-136.419122633715,-146.010650482514,1.42572457202813,-171.283334568285,27.9016449812196,-10.4504869100936,0.338252450155173,-10.5515520157797,0.316715310883305,100,0,1
17,"X.76",-147.09528441778,3.44598100099827,-9.8973251479706,1.61791076299337,-136.419122633715,-146.57675526967,1.41967831647594,-170.5569510627,27.7833188478328,-9.52153067063244,0.306551479329654,-9.55604946312008,0.287032797642969,100,0,1
18,"X.73",-146.506905404463,3.40705537049183,-9.30894613465391,1.53769353011938,-136.419122633715,-145.799705044423,1.40364170061267,-168.630348201149,27.4694798558592,-9.10170411010511,0.291352426348661,-9.08106994898926,0.272801495584999,100,0,1
19,"X.31",-146.063819649941,3.48138374685182,-8.8658603801314,1.54651964386245,-136.419122633715,-149.982583181388,1.43426357118787,-172.309190668861,28.0687544830998,-9.20215160897684,0.293024742453206,-9.13318929648908,0.274367332328245,100,0,1
20,"X.40",-145.456367929653,3.34487319930403,-8.25840865984348,1.35279140484239,-136.419122633715,-145.418266048302,1.37802383444303,-165.552675536913,26.9681343498159,-8.08220013677203,0.256318343300726,-7.98909975422004,0.239998095346661,100,0,1
21,"X.83",-145.134316085192,3.34001076160392,-7.93635681538225,1.34935023922343,-136.419122633715,-146.923916901213,1.37602060303634,-165.312011833711,26.9289308089488,-8.08081223312998,0.255666333044512,-7.96877722097307,0.239387599751134,100,0,1
22,"X.26",-144.819413202044,3.20055617897922,-7.62145393223463,1.25245722647394,-136.419122633715,-142.674035630511,1.31856798010309,-158.409783290576,25.8045743099631,-7.50255721570447,0.237307658960344,-7.39656158865875,0.222197855324139,100,0,1
23,"X.17",-144.452562669776,3.1412113168595,-7.25460339996669,1.21639971615014,-136.419122633715,-141.84584947368,1.29411903104585,-155.472541691902,25.3261046881704,-7.27006091352175,0.230475710385965,-7.1835702388842,0.215800909150709,100,0,1
24,"X.13",-144.148437518291,3.16476845267092,-6.95047824848206,1.18016222341251,-136.419122633715,-144.416833598702,1.30382412080115,-156.63848928668,25.5160347589399,-7.01625704109164,0.223609659884289,-6.96486252586817,0.209372032380767,100,0,1
25,"X.96",-143.826342905452,3.13714955048816,-6.62838363564287,1.13168333548521,-136.419122633715,-144.121589603641,1.29244566092503,-155.27150677963,25.2933565824357,-6.66850757789988,0.214424187390814,-6.65737794887745,0.200771415371056,100,0,1
26,"X.16",-143.476233005823,3.1353047393367,-6.27827373601406,1.07047299027809,-136.419122633715,-144.414410927619,1.2916856339867,-155.18019885739,25.2784827405833,-6.22555698066937,0.202826439046028,-6.24857378936475,0.18991211643359,100,0,1
