"size","solution_terms","elpd","se","diff","diff.se","rho","n","run","diff_gam_fit","diff_se_gam_fit","diff_mono_fit","diff_se_mono_fit"
3,"X.4",-172.661672116411,6.10092272660602,-31.5956274732697,4.12710476285861,0,100,4,-32.2832184624043,0.870843819970407,-32.1955885052725,0.919560115509498
4,"X.1",-167.683568451229,5.56013563221252,-26.6175238080881,3.58889912613981,0,100,4,-26.5562505901096,0.757279207599102,-26.5126554377763,0.799642530202987
5,"X.24",-165.093962100688,5.41251035212316,-24.0279174575462,3.44202527328668,0,100,4,-24.3606109749988,0.726287945098704,-24.3635777989274,0.766917570490212
6,"X.72",-162.845385894116,5.08110386997991,-21.7793412509743,3.13677593331677,0,100,4,-21.5673353826508,0.661878506391187,-21.5199385560102,0.698904972203875
7,"X.8",-159.178566189013,4.65895679030036,-18.1125215458719,2.71816201885096,0,100,4,-18.3577534809077,0.573548463585668,-18.2609648294788,0.605633615730378
8,"X.10",-157.075582616275,4.2510113565997,-16.0095379731332,2.34165040567534,0,100,4,-15.5717363834156,0.494102258480378,-15.5369166426622,0.521743072020837
9,"X.49",-155.69656334159,4.13013636584766,-14.6305186984491,2.27126870415023,0,100,4,-14.8509947709009,0.479251297980483,-14.9795657885061,0.506061326753155
10,"X.42",-154.173285118877,3.87836012344311,-13.1072404757354,2.01132151223668,0,100,4,-12.9764357768637,0.424400883803019,-13.2401503951391,0.448142499013772
11,"X.13",-153.129653966646,3.84875094760898,-12.0636093235045,1.88942815719643,0,100,4,-12.1678424856025,0.398680655935884,-12.4357454954768,0.420983443433361
12,"X.80",-152.309488786069,3.76295377887287,-11.2434441429274,1.80921852324195,0,100,4,-11.777417917025,0.381755942839198,-11.8929576535724,0.403111936771372
13,"X.55",-151.755254189092,3.53674848750064,-10.6892095459511,1.54792610100702,0,100,4,-10.2056649969778,0.326621677008065,-10.1159393472915,0.344893378295603
14,"X.23",-151.163942074401,3.53426385541144,-10.0978974312598,1.528243331505,0,100,4,-10.0645887702379,0.322468494773635,-9.84672362590566,0.340507860884049
15,"X.7",-150.166777504386,3.45919002942652,-9.10073286124428,1.39148372955722,0,100,4,-8.9373362841627,0.293611399783067,-8.73625707129771,0.310036457178507
16,"X.90",-149.394519266672,3.34827110740329,-8.32847462353039,1.36536751442274,0,100,4,-8.37433381769513,0.288100721993747,-8.27903563659112,0.304217503896328
17,"X.9",-148.191227455553,3.23024558283068,-7.12518281241158,1.29422607503178,0,100,4,-7.53753231130414,0.273089452254496,-7.56535151926906,0.288366481452557
18,"X.81",-147.747954358888,2.97584987967606,-6.68190971574636,1.15372164023803,0,100,4,-6.4675535156528,0.243442175107643,-6.54258522627745,0.25706069162835
19,"X.5",-147.406141820911,3.02700866154254,-6.3400971777695,1.12770719091469,0,100,4,-6.22468295846455,0.237952970513894,-6.27592490903575,0.251264412784167
20,"X.85",-146.809180580496,2.94894222140049,-5.74313593735428,1.07186185909857,0,100,4,-5.91029310872879,0.226169271073082,-5.8928365785915,0.238821515710739
21,"X.60",-146.461948583852,2.87969938858162,-5.39590394071114,1.02576113355328,0,100,4,-5.62552392044644,0.216441741910616,-5.56846684777324,0.22854981413219
22,"X.76",-146.35623245314,2.86005820167549,-5.2901878099983,0.919167521408581,0,100,4,-4.90776335238329,0.19394985141636,-4.88706678051664,0.204799693907845
23,"X.12",-145.751408028387,2.87536256110377,-4.68536338524564,0.936104926351546,0,100,4,-4.72440016658691,0.19752374528832,-4.77738060449233,0.208573516706324
24,"X.6",-145.283448531725,2.92637781186386,-4.21740388858334,0.92252713401543,0,100,4,-4.27631476917748,0.194658749795315,-4.34935792169547,0.205548249114058
25,"X.28",-144.786103951071,2.91255363172191,-3.72005930792981,0.899455472167987,0,100,4,-3.74641068471421,0.18979049098175,-3.66612373382188,0.200407652678426
0,NA,-193.165637579459,6.88730119226427,-56.2734374856466,4.98639526234945,0,100,5,-57.3433725506405,1.18071091702938,-57.5768076688691,1.2344623832925
1,"X.3",-187.373952912386,6.34628475838071,-50.4817528185734,4.57135509003808,0,100,5,-47.7715843380696,1.082435020982,-48.3322165204385,1.13171251022443
2,"X.2",-181.471004981922,6.72338039900749,-44.5788048881096,4.94313147371997,0,100,5,-46.4563380261141,1.17046663737257,-46.4421119998809,1.22375173625954
3,"X.5",-174.858984502254,6.33027244042077,-37.9667844084416,4.4409133389276,0,100,5,-37.1786884896693,1.0515481795927,-36.5591396796253,1.09941955579851
4,"X.1",-165.825408081562,5.95520404486086,-28.9332079877498,3.96673401105988,0,100,5,-29.5131586452611,0.939268931842232,-28.9507623016483,0.982028833164171
5,"X.8",-162.440161536559,5.80804001530681,-25.5479614427463,3.86175388822889,0,100,5,-25.8375831635365,0.914411059456234,-25.7922180343621,0.956039314521958
6,"X.9",-158.987162134478,5.42977639754649,-22.0949620406653,3.4880424311215,0,100,5,-21.5801772358322,0.825921243865932,-21.9887114879667,0.863521029923088
7,"X.4",-155.055040082722,5.13297288592504,-18.1628399889097,3.19240340708767,0,100,5,-18.9419700835622,0.755917923869959,-19.4568707837436,0.790330832395282
8,"X.11",-153.001516195751,4.77964205371808,-16.1093161019387,2.86113337716442,0,100,5,-16.7944634157864,0.677477663875259,-17.0997817821415,0.708319606020951
9,"X.49",-151.666244187481,4.38348877178673,-14.7740440936685,2.40481850348814,0,100,5,-14.1803581601026,0.569428477116925,-14.1969363773293,0.595351516478682
10,"X.89",-150.209883941722,4.11896164095717,-13.3176838479097,2.17240074037778,0,100,5,-12.851501644339,0.51439509613167,-12.6878503935765,0.53781275938594
11,"X.96",-149.013962251908,3.92127268497517,-12.1217621580955,2.06418893671811,0,100,5,-12.1053072005328,0.48877200545991,-11.8742270585529,0.511023186153602
12,"X.7",-148.173777167015,3.93672614658619,-11.2815770732026,1.95897652657646,0,100,5,-11.2215767318799,0.4638591305823,-11.0193042365377,0.484976161049897
13,"X.12",-146.724520781489,3.77777007133368,-9.83232068767693,1.79603336693547,0,100,5,-9.94149407490552,0.425276395495886,-9.84114671569263,0.444636959962005
14,"X.75",-145.536661663744,3.60872993708479,-8.6444615699316,1.65968450658321,0,100,5,-8.85617990965078,0.392990830579283,-8.86348187638675,0.410881605591971
15,"X.70",-144.93087704436,3.51670548242569,-8.03867695054729,1.52951467510188,0,100,5,-7.92300113502471,0.36216837607826,-8.00064629981435,0.378655969245703
16,"X.16",-144.247868343406,3.48008222316185,-7.35566824959333,1.45624430626527,0,100,5,-7.41657492155216,0.344818944308707,-7.49933315474528,0.360516710446523
17,"X.66",-143.579886286617,3.3889011835508,-6.68768619280485,1.31102120066011,0,100,5,-6.63842317179534,0.310432078211748,-6.66433472459286,0.324564393868632
18,"X.43",-143.10092335482,3.37826463002852,-6.2087232610077,1.25079043938523,0,100,5,-6.31319276782201,0.296170249047259,-6.27564786489062,0.309653299741714
19,"X.19",-142.459293178776,3.38102113711324,-5.5670930849636,1.1288955431316,0,100,5,-5.6308378214946,0.267307187223114,-5.57288083136519,0.279476256763067
20,"X.14",-142.216830444894,3.31385890810322,-5.32463035108114,1.06637035277396,0,100,5,-5.16868062717193,0.252502068302432,-5.14271563819031,0.263997139797047
21,"X.64",-141.893354090719,3.27940168797372,-5.00115399690641,1.03777864601786,0,100,5,-4.80028323678605,0.245731939075346,-4.83256238064886,0.256918802720353
22,"X.10",-141.342228832589,3.26543854194477,-4.45002873877654,1.02950685028836,0,100,5,-4.48943068434981,0.243773289789158,-4.55229896353183,0.254870986586032
23,"X.20",-140.677152725363,3.1921568580965,-3.78495263155026,0.975543867399335,0,100,5,-3.99967453945847,0.230995585724334,-4.03567480671876,0.24151158185337
24,"X.74",-140.506372227102,3.18907295500479,-3.61417213328906,0.947657281446076,0,100,5,-3.66711828122285,0.224392419560933,-3.6482520844897,0.23460780877752
25,"X.78",-140.101382791875,3.07574183409661,-3.20918269806276,0.849790939346377,0,100,5,-3.11353409386309,0.201218994181012,-3.06732695006214,0.210379421023199
0,NA,-201.600386528562,7.36595538355755,-68.9193590793203,5.66107956151305,0,100,6,-69.3253231526593,1.78326840369309,-67.9708731317777,2.36912629449867
1,"X.2",-191.369106534999,6.81108186699761,-58.6880790857574,4.96618519456313,0,100,6,-59.0937544357152,1.56437319916166,-57.950549067415,2.07831735978021
2,"X.5",-185.283357424786,6.13291549988591,-52.6023299755441,4.4811025158305,0,100,6,-51.5846196601071,1.41156972682687,-50.7769677138739,1.87531330080101
3,"X.3",-180.005306135982,5.86585760101325,-47.3242786867403,4.38056467681489,0,100,6,-48.4484645968168,1.37989980420098,-48.1585484409998,1.83323884567
4,"X.4",-174.484587458069,5.22349599714861,-41.8035600088271,3.64760469082998,0,100,6,-38.5214022906006,1.14901373910055,-38.8689278600241,1.52649968810407
5,"X.8",-169.697799788948,5.40098132472968,-37.0167723397059,3.86832604150813,0,100,6,-38.9423886812033,1.21854206959086,-39.9147181292402,1.61887018916608
6,"X.1",-164.675902264567,5.03841106325168,-31.9948748153251,3.41668560439958,0,100,6,-32.9342845218658,1.076273070794,-34.1008237823753,1.4298614985822
7,"X.13",-161.330846967933,4.74345956122101,-28.6498195186909,3.12048444798815,0,100,6,-29.0633961869646,0.982968223613105,-30.0908429902169,1.30590317217287
8,"X.100",-157.151286251922,4.40769312858935,-24.4702588026799,2.77222996999676,0,100,6,-25.1870016604665,0.873266319533049,-25.7965260799317,1.16016085712125
9,"X.10",-154.889025306644,4.0550769582361,-22.2079978574019,2.4388634516301,0,100,6,-21.7401717158881,0.768254197270356,-21.8709100518388,1.0206490598066
10,"X.97",-152.9162578787,3.80653614757188,-20.2352304294586,2.25456920981646,0,100,6,-19.7165737148509,0.710200588442256,-19.4569229464856,0.943523075361206
11,"X.34",-150.885430745016,3.53816075148254,-18.2044032957746,2.08574772967588,0,100,6,-17.797440438582,0.657020977004515,-17.2957023626083,0.87287234464257
12,"X.37",-148.729573734205,3.35838342904587,-16.0485462849636,1.98491274365572,0,100,6,-16.380000808239,0.625257451584547,-15.7893029297564,0.830673535353637
13,"X.50",-147.337884857299,3.36722402896525,-14.6568574080571,1.87408882723875,0,100,6,-14.8044174805872,0.590347363080671,-14.2749158611525,0.78429442133663
14,"X.7",-146.101034061941,3.21077865685323,-13.420006612699,1.74742569679501,0,100,6,-13.0804596233783,0.550447842860393,-12.7200738585629,0.731286695580945
15,"X.11",-144.641165670596,3.14558087644364,-11.9601382213541,1.71721766178045,0,100,6,-12.0702280234877,0.540932160596299,-11.9203302778037,0.718644822369222
16,"X.66",-143.559420039596,3.01939325976138,-10.8783925903545,1.60424624175045,0,100,6,-10.5113861884187,0.505345597702984,-10.5944194592683,0.671366991557673
17,"X.14",-141.684933502971,2.80948782052556,-9.00390605372887,1.48697125489034,0,100,6,-9.04111797175177,0.468403389712667,-9.31783520664391,0.622288145016431
18,"X.98",-140.412838748331,2.78234171257631,-7.73181129908961,1.47815318309209,0,100,6,-8.33380292533853,0.465625652949132,-8.7634545879347,0.618597837269118
19,"X.65",-139.576549196332,2.72262015997448,-6.89552174709062,1.28079950246916,0,100,6,-6.72060183082721,0.403458255514896,-7.16093007207668,0.536006559580924
20,"X.18",-139.020169281711,2.80206457189262,-6.33914183246937,1.32078775217668,0,100,6,-6.50083048194932,0.416054754371263,-6.93851818834077,0.552741391307567
21,"X.12",-138.634541277189,2.78515272962573,-5.95351382794708,1.21551928621265,0,100,6,-5.67125155772218,0.382894660573054,-5.97506995372648,0.508687198465546
22,"X.22",-138.254099164972,2.77749373828452,-5.57307171572989,1.27176227674634,0,100,6,-5.68618105954904,0.400611484167941,-5.82211052019906,0.532224537290546
23,"X.80",-137.939545799031,2.79551613743004,-5.2585183497892,1.26518003891421,0,100,6,-5.46877458485686,0.398538046297286,-5.36476967185421,0.529469912036599
24,"X.70",-137.718028294237,2.79777759805232,-5.03700084499553,1.18121254971664,0,100,6,-4.96237767612654,0.372087866822428,-4.60986625673832,0.494330044387781
25,"X.72",-137.518415099651,2.7583038086276,-4.83738765040962,1.15589489012687,0,100,6,-4.72809090967475,0.36411267730048,-4.12075488746004,0.483734762622608
0,NA,-203.365061244076,8.0721015618209,-47.8026685888319,5.08209861380238,0,100,7,-48.8504925502504,0.810193877527336,-49.5197928331865,1.11315915305917
1,"X.1",-195.234216705298,6.87451126618739,-39.6718240500539,4.09859505719238,0,100,7,-38.2102317374015,0.653402634254786,-38.2160151174902,0.897737125801899
2,"X.6",-190.650702622163,6.63450132812312,-35.0883099669184,3.95696603524544,0,100,7,-35.4162408555852,0.630823976266931,-34.901586129189,0.866715366072389
3,"X.11",-185.61259647165,6.41799511225614,-30.0502038164053,3.51191295921839,0,100,7,-29.7624362704558,0.559873114276072,-29.2638265373825,0.769233018163758
4,"X.7",-182.05460689453,6.28528572839358,-26.4922142392853,3.42819640885296,0,100,7,-27.3493417318737,0.546526927649631,-27.2874579749783,0.750896135827645
5,"X.71",-179.906836788081,6.11944553237888,-24.3444441328368,3.2080592755104,0,100,7,-24.3607183416727,0.51143241823453,-24.7871697949985,0.702678325916803
6,"X.5",-177.905136633267,5.87102127834521,-22.3427439780225,2.95895856428981,0,100,7,-21.9084550651369,0.47172050265491,-22.4011187469784,0.648116469132745
7,"X.82",-176.120596170731,5.84116941020014,-20.558203515487,2.8188450189339,0,100,7,-20.7664950720765,0.449383443649856,-20.9274924399143,0.617426652320275
8,"X.4",-174.010312047772,5.52531766510123,-18.4479193925279,2.48759939980447,0,100,7,-18.2454032859002,0.396575894452061,-17.9770288680245,0.544872158426109
9,"X.53",-172.590631518006,5.57879269121283,-17.0282388627616,2.43749589307466,0,100,7,-17.4275419183967,0.38858833705109,-16.9724751019626,0.533897720235324
10,"X.2",-171.555263791535,5.59863569563432,-15.9928711362907,2.3205160479171,0,100,7,-15.6628199234056,0.369939278553219,-15.3980113033814,0.508275001107654
11,"X.96",-170.544031077307,5.67767792186026,-14.9816384220628,2.3571175336586,0,100,7,-14.6183318443358,0.375774328580707,-14.7241085721174,0.516292019659411
12,"X.9",-168.53794084333,5.75649750853879,-12.9755481880857,2.38109521268704,0,100,7,-13.4606474744579,0.379596877142319,-13.8510608488853,0.521543978526784
13,"X.8",-167.464296129177,5.65803631034962,-11.9019034739325,2.28818253289015,0,100,7,-11.9789608924156,0.3647846332178,-12.3565356579804,0.501192818934903
14,"X.50",-166.169013751194,5.43801944402409,-10.6066210959495,2.1119497381057,0,100,7,-10.5422829106372,0.336689402840706,-10.6703461932732,0.462591610361202
15,"X.3",-164.645938037406,5.15441379695699,-9.08354538216189,1.85378587278127,0,100,7,-9.03661568912604,0.295532629039311,-8.94348780492028,0.406044602616302
