"size","solution_terms","mlpd","mlpd.se","mlpd.diff","mlpd.diff.se","elpd","elpd.se","elpd.diff","elpd.diff.se","rho","n","data"
0,NA,-2.02731283893913,0.068495232544188,-0.696107889795173,0.0533510375765964,-202.731283893913,6.8495232544188,-69.6107889795173,5.33510375765964,0,100,"train"
1,"X.3",-1.92223060045292,0.0695065155793569,-0.591025651308957,0.0560781406151807,-192.223060045292,6.95065155793569,-59.1025651308957,5.60781406151807,0,100,"train"
2,"X.2",-1.83354095556298,0.0663390728579929,-0.502336006419019,0.0525466642784404,-183.354095556298,6.63390728579929,-50.2336006419019,5.25466642784404,0,100,"train"
3,"X.1",-1.74437238663335,0.0613245280669423,-0.413167437489391,0.0454647529265004,-174.437238663335,6.13245280669423,-41.3167437489391,4.54647529265004,0,100,"train"
4,"X.4",-1.68835018838894,0.0517337557543019,-0.357145239244981,0.0356720634834039,-168.835018838894,5.17337557543019,-35.7145239244981,3.56720634834039,0,100,"train"
5,"X.5",-1.62105394337005,0.0451866784843936,-0.289848994226093,0.0284390346522605,-162.105394337005,4.51866784843936,-28.9848994226093,2.84390346522605,0,100,"train"
6,"X.10",-1.58751655791275,0.0447309117532708,-0.256311608768789,0.0269214749787763,-158.751655791275,4.47309117532708,-25.6311608768789,2.69214749787763,0,100,"train"
7,"X.6",-1.56295356536324,0.0446562935738786,-0.231748616219286,0.0263933913060218,-156.295356536324,4.46562935738786,-23.1748616219286,2.63933913060218,0,100,"train"
8,"X.70",-1.53874220593052,0.0415346584652781,-0.207537256786563,0.0229127483680084,-153.874220593052,4.15346584652781,-20.7537256786563,2.29127483680084,0,100,"train"
9,"X.73",-1.51931277460193,0.0380294970205436,-0.188107825457973,0.0193939346453622,-151.931277460193,3.80294970205436,-18.8107825457973,1.93939346453622,0,100,"train"
10,"X.83",-1.50908310908523,0.0368664741107718,-0.17787815994127,0.0190811313828849,-150.908310908523,3.68664741107718,-17.787815994127,1.90811313828849,0,100,"train"
11,"X.64",-1.49686126575563,0.0365179161841381,-0.165656316611673,0.0191232644977331,-149.686126575563,3.65179161841381,-16.5656316611673,1.91232644977331,0,100,"train"
12,"X.99",-1.48005635848743,0.0367653721788827,-0.148851409343471,0.0191975354439478,-148.005635848743,3.67653721788827,-14.8851409343471,1.91975354439478,0,100,"train"
13,"X.8",-1.47292967739768,0.035701752622139,-0.141724728253719,0.0177586564056797,-147.292967739768,3.5701752622139,-14.1724728253719,1.77586564056797,0,100,"train"
14,"X.47",-1.47035764500152,0.0352813294269086,-0.13915269585756,0.0170140076296921,-147.035764500152,3.52813294269086,-13.915269585756,1.70140076296921,0,100,"train"
15,"X.30",-1.46368174737836,0.035371055551552,-0.132476798234403,0.0171823071931417,-146.368174737836,3.5371055551552,-13.2476798234403,1.71823071931417,0,100,"train"
16,"X.90",-1.45588075105534,0.0350896584867843,-0.124675801911384,0.0164283802667163,-145.588075105534,3.50896584867843,-12.4675801911384,1.64283802667163,0,100,"train"
17,"X.28",-1.45193402838851,0.0347878003586037,-0.120729079244554,0.015671781921191,-145.193402838851,3.47878003586037,-12.0729079244554,1.5671781921191,0,100,"train"
18,"X.58",-1.44473485959111,0.0327496195011451,-0.113529910447156,0.0142621801271819,-144.473485959111,3.27496195011451,-11.3529910447156,1.42621801271819,0,100,"train"
19,"X.18",-1.43775435234575,0.0318234392688618,-0.106549403201787,0.0137217414261325,-143.775435234575,3.18234392688618,-10.6549403201787,1.37217414261325,0,100,"train"
20,"X.34",-1.42624067157674,0.0310809181504315,-0.0950357224327784,0.0132462383377933,-142.624067157674,3.10809181504315,-9.50357224327784,1.32462383377933,0,100,"train"
21,"X.41",-1.41894009451979,0.0305053498619881,-0.0877351453758366,0.0119605185608929,-141.894009451979,3.05053498619881,-8.77351453758366,1.19605185608929,0,100,"train"
22,"X.17",-1.41330558875612,0.0297922351866355,-0.082100639612159,0.011405651659438,-141.330558875612,2.97922351866355,-8.2100639612159,1.1405651659438,0,100,"train"
