"size","n","rho","elpd","data"
100,100,0.5,-161.108906468632,"test"
0,100,0.9,-212.393413026286,"train"
0,100,0.9,-203.148898730816,"test"
1,100,0.9,-167.214413871599,"train"
1,100,0.9,-169.371809751141,"test"
2,100,0.9,-155.587147847209,"train"
2,100,0.9,-149.9432425071,"test"
3,100,0.9,-148.690323362166,"train"
3,100,0.9,-146.192575889074,"test"
4,100,0.9,-142.74069420456,"train"
4,100,0.9,-140.628522809411,"test"
5,100,0.9,-140.984134055735,"train"
5,100,0.9,-141.685592320475,"test"
6,100,0.9,-139.974164649189,"train"
6,100,0.9,-141.504500999424,"test"
7,100,0.9,-138.799652917828,"train"
7,100,0.9,-140.925382606623,"test"
8,100,0.9,-137.92347375071,"train"
8,100,0.9,-141.541285945012,"test"
9,100,0.9,-137.4344170097,"train"
9,100,0.9,-141.41911699234,"test"
10,100,0.9,-136.593080184926,"train"
10,100,0.9,-141.801747001471,"test"
11,100,0.9,-136.425692022123,"train"
11,100,0.9,-141.676823155466,"test"
12,100,0.9,-136.405478121317,"train"
12,100,0.9,-142.263795792316,"test"
13,100,0.9,-136.401261285711,"train"
13,100,0.9,-142.403474828217,"test"
14,100,0.9,-136.403045747411,"train"
14,100,0.9,-142.401258578489,"test"
15,100,0.9,-133.865731396973,"train"
15,100,0.9,-142.691443059525,"test"
16,100,0.9,-133.873453075399,"train"
16,100,0.9,-142.860114464187,"test"
17,100,0.9,-133.907942550165,"train"
17,100,0.9,-142.044535056741,"test"
18,100,0.9,-133.263209090845,"train"
18,100,0.9,-142.347206072133,"test"
19,100,0.9,-133.282282894023,"train"
19,100,0.9,-142.724068544361,"test"
20,100,0.9,-133.366005654701,"train"
20,100,0.9,-142.739250844239,"test"
21,100,0.9,-133.390553382221,"train"
21,100,0.9,-142.968364243748,"test"
22,100,0.9,-133.678222561533,"train"
22,100,0.9,-143.079243835038,"test"
23,100,0.9,-133.786452164688,"train"
23,100,0.9,-142.882602943042,"test"
24,100,0.9,-133.499619291174,"train"
24,100,0.9,-143.29404979617,"test"
25,100,0.9,-133.674201861188,"train"
25,100,0.9,-143.348918005547,"test"
26,100,0.9,-133.917761272996,"train"
26,100,0.9,-143.435348891878,"test"
27,100,0.9,-133.675767916268,"train"
27,100,0.9,-143.787036438677,"test"
28,100,0.9,-133.882389996441,"train"
28,100,0.9,-144.032390525129,"test"
29,100,0.9,-133.771673281136,"train"
29,100,0.9,-143.801236486947,"test"
30,100,0.9,-133.993242362032,"train"
30,100,0.9,-143.711812031032,"test"
31,100,0.9,-133.871014737047,"train"
31,100,0.9,-143.988018723451,"test"
32,100,0.9,-133.531085706697,"train"
32,100,0.9,-143.657210675396,"test"
33,100,0.9,-133.396586478112,"train"
33,100,0.9,-143.831906908856,"test"
34,100,0.9,-133.253134667939,"train"
34,100,0.9,-143.782739361503,"test"
35,100,0.9,-133.55443494526,"train"
35,100,0.9,-143.976721461877,"test"
36,100,0.9,-133.521303098917,"train"
36,100,0.9,-144.315257143711,"test"
37,100,0.9,-133.727461218847,"train"
37,100,0.9,-144.282488669754,"test"
38,100,0.9,-133.42500016312,"train"
38,100,0.9,-144.119276352207,"test"
39,100,0.9,-133.191429297376,"train"
39,100,0.9,-144.154451960636,"test"
40,100,0.9,-133.203312044523,"train"
40,100,0.9,-144.007586705395,"test"
41,100,0.9,-133.125605672753,"train"
41,100,0.9,-143.871916048456,"test"
42,100,0.9,-133.150752535867,"train"
42,100,0.9,-144.333842121936,"test"
43,100,0.9,-133.355346203384,"train"
43,100,0.9,-144.197698298934,"test"
44,100,0.9,-133.328087342819,"train"
44,100,0.9,-144.203581387754,"test"
45,100,0.9,-133.335236496281,"train"
45,100,0.9,-144.235858266826,"test"
46,100,0.9,-133.441546867423,"train"
46,100,0.9,-144.310966864121,"test"
47,100,0.9,-133.686371644248,"train"
47,100,0.9,-144.282889031548,"test"
48,100,0.9,-133.829489167894,"train"
48,100,0.9,-144.313384466683,"test"
49,100,0.9,-133.966512226572,"train"
49,100,0.9,-144.311180303007,"test"
50,100,0.9,-133.771501674121,"train"
50,100,0.9,-144.190547464597,"test"
51,100,0.9,-133.886549323742,"train"
51,100,0.9,-144.210456068811,"test"
52,100,0.9,-133.724477710607,"train"
52,100,0.9,-144.396839011974,"test"
53,100,0.9,-133.079036845246,"train"
53,100,0.9,-144.12914187527,"test"
54,100,0.9,-133.180813527236,"train"
54,100,0.9,-144.358475316583,"test"
55,100,0.9,-133.208325855052,"train"
55,100,0.9,-144.253177488113,"test"
56,100,0.9,-133.419989043147,"train"
56,100,0.9,-144.327167911072,"test"
57,100,0.9,-133.471113414243,"train"
57,100,0.9,-144.258884839277,"test"
58,100,0.9,-133.619571296905,"train"
58,100,0.9,-144.373388210446,"test"
59,100,0.9,-133.842638640942,"train"
59,100,0.9,-144.399765607421,"test"
60,100,0.9,-133.793856198482,"train"
60,100,0.9,-144.37034444056,"test"
61,100,0.9,-133.978095364892,"train"
61,100,0.9,-144.524621863611,"test"
62,100,0.9,-134.083276124109,"train"
62,100,0.9,-144.654161078943,"test"
63,100,0.9,-134.098408820094,"train"
63,100,0.9,-144.497363096596,"test"
64,100,0.9,-134.319889378622,"train"
64,100,0.9,-144.613637794514,"test"
65,100,0.9,-134.33089905413,"train"
65,100,0.9,-144.605404835531,"test"
66,100,0.9,-134.538455565324,"train"
66,100,0.9,-144.616468041309,"test"
67,100,0.9,-134.581411940055,"train"
67,100,0.9,-144.779905419127,"test"
68,100,0.9,-134.668694350339,"train"
68,100,0.9,-144.876773671958,"test"
69,100,0.9,-134.658798031322,"train"
69,100,0.9,-144.854667169184,"test"
70,100,0.9,-134.776780551212,"train"
70,100,0.9,-144.832463458762,"test"
71,100,0.9,-135.095720487155,"train"
71,100,0.9,-145.09184590997,"test"
72,100,0.9,-135.050647349761,"train"
72,100,0.9,-145.195407623514,"test"
73,100,0.9,-135.007776503304,"train"
73,100,0.9,-145.091961110261,"test"
74,100,0.9,-135.216184313768,"train"
74,100,0.9,-145.217097857931,"test"
75,100,0.9,-135.168685744184,"train"
75,100,0.9,-145.189751498653,"test"
76,100,0.9,-135.248585428152,"train"
76,100,0.9,-145.19428387484,"test"
77,100,0.9,-135.324254784067,"train"
77,100,0.9,-145.223997080731,"test"
78,100,0.9,-135.641457418546,"train"
78,100,0.9,-145.357094073695,"test"
79,100,0.9,-135.380874127181,"train"
79,100,0.9,-145.33688404113,"test"
80,100,0.9,-135.408562127089,"train"
80,100,0.9,-145.488641186884,"test"
81,100,0.9,-135.434769219364,"train"
81,100,0.9,-145.449684452082,"test"
82,100,0.9,-135.63285631801,"train"
82,100,0.9,-145.670410992581,"test"
83,100,0.9,-135.619813725581,"train"
83,100,0.9,-145.697962406714,"test"
84,100,0.9,-135.814494591214,"train"
84,100,0.9,-145.783314442763,"test"
85,100,0.9,-135.822472159676,"train"
85,100,0.9,-145.736857877231,"test"
86,100,0.9,-135.861814534985,"train"
86,100,0.9,-145.741138327383,"test"
87,100,0.9,-135.908238674162,"train"
87,100,0.9,-145.739473992612,"test"
88,100,0.9,-135.945052972912,"train"
88,100,0.9,-145.793072640541,"test"
89,100,0.9,-136.194080367507,"train"
89,100,0.9,-145.903412995344,"test"
90,100,0.9,-136.358600334952,"train"
90,100,0.9,-145.863111873187,"test"
91,100,0.9,-136.374146829386,"train"
91,100,0.9,-146.13396557664,"test"
92,100,0.9,-136.293986613933,"train"
92,100,0.9,-146.042922685616,"test"
93,100,0.9,-136.505130768308,"train"
93,100,0.9,-146.041584308968,"test"
94,100,0.9,-136.355274910314,"train"
94,100,0.9,-146.101706121877,"test"
95,100,0.9,-136.547555620167,"train"
95,100,0.9,-146.326752648459,"test"
96,100,0.9,-136.767797719658,"train"
96,100,0.9,-146.584153204673,"test"
97,100,0.9,-136.610060692379,"train"
97,100,0.9,-146.389002852195,"test"
98,100,0.9,-136.747538159863,"train"
98,100,0.9,-146.477073439217,"test"
99,100,0.9,-136.796906443772,"train"
99,100,0.9,-146.442488271555,"test"
100,100,0.9,-136.988410231802,"train"
100,100,0.9,-146.633991886359,"test"
0,200,0,-407.332596621171,"train"
0,200,0,-396.289718587747,"test"
1,200,0,-391.889208464247,"train"
1,200,0,-386.582342384044,"test"
2,200,0,-376.089580774756,"train"
2,200,0,-381.36143687588,"test"
3,200,0,-356.103551643781,"train"
3,200,0,-378.21477742084,"test"
4,200,0,-341.801557439428,"train"
4,200,0,-351.390148592472,"test"
5,200,0,-325.190134418831,"train"
5,200,0,-330.903144384569,"test"
6,200,0,-318.957424250512,"train"
6,200,0,-331.668129722186,"test"
7,200,0,-311.798569385464,"train"
7,200,0,-324.088672690967,"test"
8,200,0,-307.37978953393,"train"
8,200,0,-326.745368838517,"test"
9,200,0,-302.469567413293,"train"
9,200,0,-324.930540808981,"test"
10,200,0,-297.474762133931,"train"
10,200,0,-317.282518975526,"test"
11,200,0,-293.567051935266,"train"
11,200,0,-315.05421788871,"test"
12,200,0,-290.385415724774,"train"
12,200,0,-307.961073861417,"test"
13,200,0,-288.083748843652,"train"
13,200,0,-310.808266561265,"test"
14,200,0,-285.818217952398,"train"
14,200,0,-308.200770591473,"test"
15,200,0,-284.069160144306,"train"
15,200,0,-309.971174423112,"test"
16,200,0,-282.927942656268,"train"
16,200,0,-312.640058482779,"test"
17,200,0,-281.770228791711,"train"
17,200,0,-312.668518945312,"test"
18,200,0,-279.677462427858,"train"
18,200,0,-307.898846921584,"test"
19,200,0,-279.449035794508,"train"
19,200,0,-307.243800269394,"test"
20,200,0,-278.834980498502,"train"
20,200,0,-307.744924983792,"test"
21,200,0,-277.189027964257,"train"
21,200,0,-306.87371237911,"test"
22,200,0,-276.436794586572,"train"
22,200,0,-308.310017068428,"test"
23,200,0,-274.975921431873,"train"
23,200,0,-308.8669314724,"test"
24,200,0,-273.253363589797,"train"
24,200,0,-305.945881076045,"test"
25,200,0,-271.660751479544,"train"
25,200,0,-307.192090224295,"test"
26,200,0,-270.601431165161,"train"
26,200,0,-308.540497091949,"test"
27,200,0,-270.327153260793,"train"
27,200,0,-309.375610965822,"test"
28,200,0,-269.3772117644,"train"
28,200,0,-311.386514313228,"test"
29,200,0,-268.339651021226,"train"
29,200,0,-310.945703600735,"test"
30,200,0,-267.427146261229,"train"
30,200,0,-311.55108451052,"test"
31,200,0,-266.336240818332,"train"
31,200,0,-313.855279396516,"test"
32,200,0,-265.206880332184,"train"
32,200,0,-312.682653234234,"test"
33,200,0,-264.751478074217,"train"
33,200,0,-313.004718112914,"test"
34,200,0,-263.398397717527,"train"
34,200,0,-314.847353317418,"test"
35,200,0,-262.999466721114,"train"
35,200,0,-315.334439559906,"test"
36,200,0,-263.193378444839,"train"
36,200,0,-315.013950698658,"test"
37,200,0,-262.118340185193,"train"
37,200,0,-313.892493963615,"test"
38,200,0,-260.64636485586,"train"
38,200,0,-317.016326099555,"test"
39,200,0,-260.326584990666,"train"
39,200,0,-317.149954623204,"test"
40,200,0,-260.226086047743,"train"
40,200,0,-317.000532195815,"test"
41,200,0,-259.000065275197,"train"
41,200,0,-317.644747476703,"test"
42,200,0,-258.590506300392,"train"
42,200,0,-316.662600557191,"test"
43,200,0,-258.0368999646,"train"
43,200,0,-316.907342424621,"test"
44,200,0,-258.226648354786,"train"
44,200,0,-317.21494800311,"test"
45,200,0,-257.608456913698,"train"
45,200,0,-317.137684452079,"test"
46,200,0,-258.035801574307,"train"
46,200,0,-317.217015602535,"test"
47,200,0,-257.421160074085,"train"
47,200,0,-317.32245809478,"test"
48,200,0,-257.205657731607,"train"
48,200,0,-317.216717441552,"test"
49,200,0,-256.735212818136,"train"
49,200,0,-316.481196204268,"test"
50,200,0,-256.268413037794,"train"
50,200,0,-317.815487753916,"test"
51,200,0,-255.911985410491,"train"
51,200,0,-318.970796705439,"test"
52,200,0,-256.069265477873,"train"
52,200,0,-317.974853097639,"test"
53,200,0,-255.826612685148,"train"
53,200,0,-319.362213998302,"test"
54,200,0,-255.586807310337,"train"
54,200,0,-319.866297911674,"test"
55,200,0,-255.419254368624,"train"
55,200,0,-319.57092474114,"test"
56,200,0,-255.043094868124,"train"
56,200,0,-319.193653902897,"test"
57,200,0,-255.198688781956,"train"
57,200,0,-318.542318513773,"test"
58,200,0,-255.511707739501,"train"
58,200,0,-319.689846508459,"test"
59,200,0,-255.224887944264,"train"
59,200,0,-320.051869133384,"test"
60,200,0,-255.273741513783,"train"
60,200,0,-319.990672276383,"test"
61,200,0,-255.899465929934,"train"
